filename,prompt
"0,0,-18.png","a close up of a fruit on a black background, proud onion hybrid thanos, onion, elated gaunt onion head, onion man portrait, head is an onion, game asset, seperated game asset, 3d game object, surrounding onions, spherical body, onions, the anatomy of a head of lettuce, one apple and one onion, beets"
"0,0,-27.png","a close up of a fruit on a black background, proud onion hybrid thanos, elated gaunt onion head, onion, onion man portrait, spherical body, game asset, 3d game object, seamless game texture, seperated game asset, beets, fractal flame. highly_detailded, inspired by Sara Saftleven, outer wilds"
"0,0,-36.png","a close up of a fruit on a black background, spherical body, obsidian globe, face made out of planet, earth seen on the dark sky, seen from earth, pluto, is holding a tiny planet earth, orb, viewed from earth, game asset, anorld render, photo of earth from space, 3d game object, footage from space camera"
"0,0,-45.png","a close up of a fruit on a black background, obsidian globe, face made out of planet, spherical body, earth seen on the dark sky, fractal flame. highly_detailded, seen from earth, footage from space camera, destroyed planet, photo of earth from space, is holding a tiny planet earth, viewed from earth, orb"
"0,0,-54.png","a close up of a fruit on a black background, obsidian globe, face made out of planet, spherical body, fractal flame. highly_detailded, glossy sphere, fractal flame, is holding a tiny planet earth, dyson sphere program pink planet, orb, uncompressed png, photo of earth from space, ghost sphere, little planet, game asset"
"0,0,-63.png","an object is shown in the dark sky, obsidian globe, fractal flame. highly_detailded, face made out of planet, spherical body, orb, fractal flame, orb of agamento, uncompressed png, void of darkness, game asset, low quality 3d model, seperated game asset, glossy sphere, black orb of fire"
"0,0,-72.png","a black background with a round object in the middle, obsidian globe, black orb of fire, fractal flame. highly_detailded, glowing magma sphere, face made out of planet, orb, fractal flame, destroyed planet, orb of agamento, dark volcano background, void of darkness, glossy sphere, uncompressed png, black tar particles"
"0,0,-81.png","an object is shown in the dark sky, obsidian globe, fractal flame. highly_detailded, fractal flame, orb, spherical body, glossy sphere, black orb of fire, square black pupil centered, face made out of planet, black sun with purple eclipse, uncompressed png, orb of agamento, game asset, void of darkness"
"0,0,-9.png","a close up of a fruit on a black background, proud onion hybrid thanos, game asset, spherical body, onion, blood moon eclipse, elated gaunt onion head, seperated game asset, beets, onion man portrait, blood moon background, mangosteen, outer wilds, levitating agricultural sphere, photo of earth from space, blood moon, orb"
"0,0,-90.png","an object is shown in the dark sky, fractal flame. highly_detailded, obsidian globe, black sun with purple eclipse, square black pupil centered, black orb of fire, fractal flame, glossy sphere, outer wilds, dark blue spheres fly around, spherical lens, cataract. subsurface scattering, orb, spherical body, total lunar eclipse"
"0,0,0.png","a close up of a fruit on a black background, outer wilds, outer wilds screenshot, obsidian globe, spherical body, game asset, seperated game asset, in-game 3d model, proud onion hybrid thanos, orbital, big pink sphere high in the sky, ghost sphere, glowing magma sphere, realistic photo from nasa"
"0,0,18.png","an object is shown in the dark sky, proud onion hybrid thanos, onion, onion man portrait, elated gaunt onion head, beets, surrounding onions, onion man, onions, spherical body, levitating agricultural sphere, seperated game asset, head is an onion, orbital, in-game 3d model, game asset, low quality 3d model"
"0,0,27.png","an object is shown in the dark sky, proud onion hybrid thanos, spherical body, orbital, onion, in-game 3d model, outer wilds, baked bean skin texture, onion man portrait, game asset, seperated game asset, equirectangular projection, is holding a tiny planet earth, 3d game object, videogame asset, outer wilds screenshot"
"0,0,36.png","a close up of a flower on a black background, proud onion hybrid thanos, seperated game asset, game asset, baked bean skin texture, in-game 3d model, spherical body, :6 smoke grenades, in game pathologic 2, from the game pathologic 2, 3d game object, obsidian globe, cranberry helmet"
"0,0,45.png","a close up of a piece of food on a black background, cerebellar peduncle, proud onion hybrid thanos, spherical body, equirectangular projection, elated gaunt onion head, 3 d image, onion man portrait, onion, a raytraced image, povray, baked bean skin texture, sketchfab, inspired by Rachel Ruysch"
"0,0,54.png","a close up of a flower on a black background, elated gaunt onion head, onion man portrait, proud onion hybrid thanos, cerebellar peduncle, game asset, onion, baked bean skin texture, spherical body, povray, videogame asset, in game pathologic 2, from the game pathologic 2, 3d game object"
"0,0,63.png","a single flower on a black background, onion, proud onion hybrid thanos, elated gaunt onion head, spherical body, povray, onion man portrait, orbital, surrounding onions, low quality 3d model, obsidian globe, onions, onion man, baked bean skin texture, orb, game asset, 3d game object, 3 d image"
"0,0,72.png","a close up of a flower on a black background, onion, proud onion hybrid thanos, elated gaunt onion head, surrounding onions, onion man portrait, onion man, onions, povray, orbital, spherical body, planet saturn, total lunar eclipse, low quality 3d model, baked bean skin texture, 3 d image, head is an onion"
"0,0,81.png","a close up of a flower on a black background, onion, proud onion hybrid thanos, spherical body, elated gaunt onion head, povray, orbital, onion man portrait, surrounding onions, 3 d image, onion man, glsl - shaders, onions, planet saturn, cerebellar peduncle, glossy sphere, 3 d, 3d"
"0,0,9.png","a close up of a flower on a black background, spherical body, seperated game asset, in-game 3d model, obsidian globe, game asset, outer wilds, ghost sphere, big pink sphere high in the sky, :6 smoke grenades, from valve, full bloody moon, smoke grenade, blood moon eclipse, orb"
"0,0,90.png","a close up of a flower on a black background, proud onion hybrid thanos, onion, onion man portrait, elated gaunt onion head, onion man, surrounding onions, onions, orbital, baked bean skin texture, low quality 3d model, spherical body, povray, one apple and one onion, 3 d image, epic 3 d oxaguian"
"0,108,-18.png","an apple with a bite taken out of it, proud onion hybrid thanos, onion, elated gaunt onion head, onion man portrait, surrounding onions, onion man, one apple and one onion, mangosteen, fractal flame. highly_detailded, outer wilds, inspired by Rachel Ruysch, game asset, orbital, onions, povray"
"0,108,-27.png","a close up of an onion on a black background, proud onion hybrid thanos, onion, elated gaunt onion head, onion man portrait, surrounding onions, onion man, one apple and one onion, onions, mangosteen, fractal flame. highly_detailded, game asset, obsidian pomegranade, videogame asset, 3d game object"
"0,108,-36.png","a close up of an onion on a black background, onion, proud onion hybrid thanos, elated gaunt onion head, onion man portrait, mangosteen, total lunar eclipse, game asset, inspired by Rachel Ruysch, one apple and one onion, blood moon eclipse, obsidian pomegranade, onion man, surrounding onions, seperated game asset, videogame asset"
"0,108,-45.png","a close up of an onion on a black background, onion, onion man portrait, proud onion hybrid thanos, one apple and one onion, game asset, seperated game asset, onion man, elated gaunt onion head, mangosteen, low quality 3d model, surrounding onions, onions, dota 2, head is an onion, dota 2 screenshot"
"0,108,-54.png","a close up of an onion on a black background, onion, onion man portrait, onion man, elated gaunt onion head, proud onion hybrid thanos, onions, head is an onion, one apple and one onion, surrounding onions, low quality 3d model, game asset, seperated game asset, high-quality 4k portrait, high quality topical render"
"0,108,-63.png","a close up of a fruit on a black background, onion, proud onion hybrid thanos, onion man portrait, one apple and one onion, mangosteen, obsidian globe, game asset, onion man, onions, elated gaunt onion head, low quality 3d model, pomegranate, head is an onion, obsidian pomegranade, seperated game asset"
"0,108,-72.png","a close up of an apple on a black background, dark blue spheres fly around, obsidian globe, glossy sphere, spherical body, barren earth, liminal space photography, is holding a tiny planet earth, black orb of fire, earth visible below, seen from earth, earth seen on the dark sky, viewed from earth, footage from space camera, orb"
"0,108,-81.png","a black background with a round object in the middle, dark blue spheres fly around, glossy sphere, obsidian globe, cataract. subsurface scattering, spherical body, black orb of fire, spherical lens, black sun with purple eclipse, fractal flame. highly_detailded, surreal nuclear eclipse blast, liminal space photography, square black pupil centered"
"0,108,-9.png","an apple with a bite taken out of it, outer wilds, simulacrum of a space fungus, face made out of planet, fractal flame. highly_detailded, break of dawn on pluto, pluto, submerged on titan, mar planet, one apple and one onion, pink moon, outer wilds screenshot, elated gaunt onion head"
"0,108,-90.png","a black background with a round object in the middle, obsidian globe, square black pupil centered, cataract. subsurface scattering, spherical body, black sun with purple eclipse, glossy sphere, black orb of fire, dark blue spheres fly around, apocalyptic spherical explosion, fractal flame. highly_detailded, spherical lens"
"0,108,0.png","an apple with a bite taken out of it, break of dawn on pluto, submerged on titan, pluto, pink moon, mars one mission, simulacrum of a space fungus, floating planets, floating beside planets, distant world, floating planets and moons, charon, liminal space photography, a clown floating in space, phobos, face made out of planet"
"0,108,18.png","an apple with a bite taken out of it, break of dawn on pluto, outer wilds, pluto, submerged on titan, a clown floating in space, simulacrum of a space fungus, outer wilds screenshot, floating planets and moons, floating beside planets, floating planets, pink moon, distant world, treasure planet color scheme, inspired by Ma Yuan"
"0,108,27.png","a close up of a flower on a black background, break of dawn on pluto, pink moon, treasure planet color scheme, phobos, floating planets and moons, face made out of planet, ocean on planet titan, distant world, pluto, dyson sphere program pink planet, alien planet covered in water, moody gold planet, treasure planet, floating planets"
"0,108,36.png","a close up of a flower on a black background, break of dawn on pluto, deserted planet, orbiting a gas giant planet, forest pink fog planet, pink moon, dyson sphere program pink planet, phobos, planet mars, face made out of planet, mars one mission, mars in distance, terraformed mars, alien planet covered in water, red rising planet"
"0,108,45.png","a close up of an onion on a black background, mars in distance, mars one mission, red desert mars, the planet mars, planet mars, break of dawn on pluto, mars as background, mars, terraformed mars, barsoom, red rising planet, deserted planet, phobos, imbalanced mars. rugged, dyson sphere program pink planet"
"0,108,54.png","a close up of a fruit on a black background, proud onion hybrid thanos, onion, surrounding onions, elated gaunt onion head, onion man portrait, break of dawn on pluto, one apple and one onion, onion man, planet saturn, orbiting a gas giant planet, onions, mars in distance, ocean on planet titan, phobos, seen from earth"
"0,108,63.png","a close up of a flower on a black background, surrounding onions, onion, elated gaunt onion head, onion man portrait, proud onion hybrid thanos, one apple and one onion, onion man, onions, orbital, orbit of earth, taken from orbit, orbital rings, seen from earth, cerebellar peduncle, nasa true color photograph, planet saturn"
"0,108,72.png","a flower that is sitting in the dark, onion, surrounding onions, proud onion hybrid thanos, elated gaunt onion head, onion man portrait, onion man, onions, one apple and one onion, orbital, cerebellar peduncle, ocatne render, head is an onion, spherical body, orbital rings, octrane render, orbit of earth"
"0,108,81.png","a close up of a flower on a black background, proud onion hybrid thanos, onion, elated gaunt onion head, surrounding onions, onion man portrait, 3 d raytraced masterpiece, povray, a raytraced image, onions, spherical body, rendered in pov - ray, 3 d image, ray traced sun light, onion man"
"0,108,9.png","an apple with a bite taken out of it, break of dawn on pluto, submerged on titan, pluto, pink moon, distant world, ocean on planet titan, floating planets, a clown floating in space, treasure planet, simulacrum of a space fungus, outer wilds, treasure planet color scheme, floating planets and moons, moody gold planet"
"0,108,90.png","a flower that is sitting in the dark, proud onion hybrid thanos, onion, elated gaunt onion head, onion man portrait, spherical body, onion man, surrounding onions, baked bean skin texture, webgl render, onions, rendered in pov - ray, 3d game object, a raytraced image, 3 d raytraced masterpiece, grape"
"0,126,-18.png","an apple with a bite taken out of it, outer wilds, moody mining planet, terraformed mars, face made out of planet, fractal flame. highly_detailded, fractal flame, large glowing moon, pink moon, forest pink fog planet, simulacrum of a space fungus, outer wilds screenshot, halfmoon in space, desolate gloomy planet"
"0,126,-27.png","a close up of an apple on a black background, :6 smoke grenades, obsidian globe, outer wilds, face made out of planet, realistic textured magnetosphere, glossy sphere, pretty highlights and specular, seperated game asset, cel shaded pbr, is holding a tiny planet earth, post-apocalyptic earth, outer wilds screenshot, game asset"
"0,126,-36.png","a close up of an apple on a black background, proud onion hybrid thanos, onion, onion man portrait, one apple and one onion, onion man, elated gaunt onion head, surrounding onions, onions, obsidian globe, seperated game asset, head is an onion, obsidian pomegranade, seamless game texture, game asset, octrane render"
"0,126,-45.png","a close up of an apple on a black background, obsidian globe, seperated game asset, game asset, levitating agricultural sphere, low quality 3d model, rpg item render, mangosteen, total lunar eclipse, proud onion hybrid thanos, background of poison apples, painting of one health potion, untextured, onion man portrait, obsidian pomegranade"
"0,126,-54.png","a close up of an apple on a black background, mangosteen, proud onion hybrid thanos, game asset, obsidian pomegranade, seperated game asset, levitating agricultural sphere, one apple and one onion, pomegranate, onion man portrait, background of poison apples, an apple, onion, videogame asset, seamless game texture, obsidian globe, spherical body"
"0,126,-63.png","a close up of a fruit on a black background, levitating agricultural sphere, obsidian globe, seperated game asset, game asset, grape, fruitcore, outer wilds, spherical body, mangosteen, glossy sphere, obsidian pomegranade, total lunar eclipse, apocalyptic spherical explosion, dark blue spheres fly around, sparse floating particles"
"0,126,-72.png","a close up of an apple on a black background, spherical body, glossy sphere, orb, fractal flame. highly_detailded, dark blue spheres fly around, obsidian globe, apocalyptic spherical explosion, an eclipse, total lunar eclipse, grape, game asset, outer wilds, sparse floating particles, is holding a tiny planet earth"
"0,126,-81.png","a close up of an apple on a black background, obsidian globe, fractal flame. highly_detailded, spherical body, orb, baked bean skin texture, glossy sphere, game asset, square black pupil centered, spherical lens, low quality 3d model, eye fish lens, seperated game asset, dark blue spheres fly around"
"0,126,-9.png","a close up of an apple on a black background, break of dawn on pluto, pluto, outer wilds, pink moon, outer wilds screenshot, submerged on titan, forest pink fog planet, moody mining planet, simulacrum of a space fungus, ocean on planet titan, face made out of planet, distant world, phobos, giant pink full moon"
"0,126,-90.png","a bird flying in the sky at night, obsidian globe, fractal flame. highly_detailded, glossy sphere, spherical lens, spherical body, game asset, square black pupil centered, fractal flame, baked bean skin texture, black orb of fire, eye fish lens, orb, seperated game asset, uncompressed png, black tar particles"
