filename,prompt
"0,0,-18.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, toothpaste refinery, videogame asset, seperated game asset, game asset, 3d product, rpg item render, inventory item, visible paint texture, featured on z brush, league of legends inventory item, emissive material, advertisment"
"0,0,-27.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, toothpaste refinery, videogame asset, seperated game asset, game asset, 3 d littlest pet shop cat, 3d littlest pet shop animal, 3 d littlest pet shop animal, 3d product, inventory item, rpg item render, league of legends inventory item"
"0,0,-36.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, 3 d littlest pet shop cat, toothpaste refinery, 3d littlest pet shop animal, 3 d littlest pet shop animal, videogame asset, seperated game asset, game asset, 3d littlest pet shop, 3d product, featured on z brush"
"0,0,-45.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, toothpaste refinery, videogame asset, seperated game asset, game asset, 3d littlest pet shop animal, 3 d littlest pet shop animal, 3d product, 3 d littlest pet shop cat, rpg item render, 3d asset, highly detailed texture render"
"0,0,-54.png","a roll of toilet paper on a black background, toothpaste blast, high quality topical render, seamless game texture, toothpaste refinery, 3 d littlest pet shop animal, 3d littlest pet shop animal, videogame asset, 3 d littlest pet shop cat, seperated game asset, rpg item render, 3d littlest pet shop, povray, 3 d daz occlusion"
"0,0,-63.png","a roll of toilet paper on a black background, toothpaste blast, toothpaste refinery, rpg item render, seamless game texture, high quality topical render, seperated game asset, 3d game object, videogame asset, masterpiece. rendered in blender, tiny gaussian blur, thin dof, povray, highly detailed texture render, rendered in pov - ray"
"0,0,-72.png","an airplane is flying in the sky at night, toothpaste blast, seamless game texture, high quality topical render, rpg item render, toothpaste refinery, 3d game object, fog. 3 d, baked bean skin texture, textured 3 d, rendered in pov - ray, low - poly aliased, videogame asset, untextured, 3d object, 3 d object"
"0,0,-81.png","an airplane is flying in the dark sky, raytraced blade, high quality topical render, toothpaste blast, baked bean skin texture, paint knife, ultra sharp - - ar 1 6 : 9, sharp focus 3 d, epic 3 d oxaguian, in-game 3d model, heavy newsprint raster, low quality 3d model"
"0,0,-9.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, seperated game asset, game asset, videogame asset, toothpaste refinery, rpg item render, league of legends inventory item, inventory item, spray brush, visible paint texture, 3d product, featured on z brush, advertisment, extremely detailed brush"
"0,0,-90.png","an airplane is flying in the dark sky, blue v2 rocket in space, in-game 3d model, rpg item render, low quality 3d model, serrated point, cone, game asset, ultra sharp - - ar 1 6 : 9, rendered 3d model, 3d rendered model, seperated game asset, modeled in 3 d, holding dagger"
"0,0,0.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seperated game asset, game asset, seamless game texture, videogame asset, rpg item render, league of legends inventory item, cosmetics, spray brush, baked bean skin texture, toothpaste refinery, inventory item, 3d product, item art, extremely detailed brush, visible paint texture"
"0,0,18.png","a tube of toothpaste on a black background, toothpaste blast, toothpaste refinery, seperated game asset, seamless game texture, high quality topical render, videogame asset, game asset, rpg item render, league of legends inventory item, baked bean skin texture, inventory item, 3d asset, 3d product, 3d game object, advertisment, game texture"
"0,0,27.png","a tube of toothpaste on a black background, toothpaste blast, toothpaste refinery, seamless game texture, high quality topical render, seperated game asset, videogame asset, game asset, rpg item render, league of legends inventory item, baked bean skin texture, inventory item, advertisment, game texture, visible paint texture, gaussian blur, 3d product"
"0,0,36.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, toothpaste refinery, seperated game asset, seamless game texture, game asset, videogame asset, visible paint texture, rpg item render, baked bean skin texture, featured on z brush, paint tubes, league of legends inventory item, 3dcoat h 648, gaussian blur"
"0,0,45.png","a tube of toothpaste on a black background, toothpaste blast, seamless game texture, high quality topical render, toothpaste refinery, videogame asset, rpg item render, seperated game asset, game asset, league of legends inventory item, rpg game item, featured on z brush, inventory item, rpg item, advertisment, video game asset, baked bean skin texture"
"0,0,54.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, league of legends inventory item, rpg item render, seperated game asset, videogame asset, game asset, featured on z brush, toothpaste refinery, paint tubes, impasto paint, rpg game item, rpg item, 3 d littlest pet shop animal"
"0,0,63.png","a tube of toothpaste on a black background, toothpaste blast, toothpaste refinery, high quality topical render, rpg item render, league of legends inventory item, seperated game asset, rpg game item, game asset, item art, advertisment, videogame asset, seamless game texture, featured on z brush, inventory item, paint tubes, rpg item"
"0,0,72.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, toothpaste refinery, advertisment, rpg item render, csgo sticker, league of legends inventory item, newspaper. stock certificate, seperated game asset, game asset, inventory item, heavy newsprint raster, uncompressed png, videogame asset, paint tubes, ingame image"
"0,0,81.png","a tube of toothpaste on a black background, cone, serrated point, rpg item render, uncompressed png, sharp focus 3 d, high quality topical render, rpg item, unicorn horn, league of legends inventory item, pointy conical hat, rpg game item, game asset, videogame asset, sharp tip, toothpaste blast, wolfy nail, spire"
"0,0,9.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seperated game asset, toothpaste refinery, seamless game texture, game asset, videogame asset, rpg item render, league of legends inventory item, baked bean skin texture, inventory item, 3d product, highly detailed texture render, featured on z brush, spray brush, cosmetics"
"0,0,90.png","a tube of toothpaste on a black background, blue v2 rocket in space, uncompressed png, realistic photo from nasa, toothpaste blast, rpg item render, cone, high quality topical render, rocket launch, game asset, found in space, space craft, !dream abandoned rocket ship, octsne render, rocket, videogame asset, rocket launching, rocket launcher"
"0,108,-18.png","a space shuttle flying through the dark sky, toothpaste blast, high quality topical render, uv map, seamless game texture, visible paint texture, smooth surface render, rpg item render, simple primitive tube shape, solid object in a void, rendered in corona, tempera paint, black marker, raytraced highlights, pbr texture, no light reflecting off paint, spray brush"
"0,108,-27.png","a white and red object in the dark sky, toothpaste blast, high quality topical render, uv map, 3d game object, blue v2 rocket in space, 3d rendered model, rpg item render, blender rendering, smooth surface render, redshift renderer, game asset, scratched vial, videogame asset, pretty highlights and specular, modeled in 3 d"
"0,108,-36.png","a tube of toothpaste on a black background, toothpaste blast, rpg item render, high quality topical render, syringe, seperated game asset, game asset, painting of one health potion, videogame asset, 3d game object, toothpaste refinery, low quality 3d model, in-game 3d model, 3d rendered model, smooth surface render"
"0,108,-45.png","a white and red object floating in the air, toothpaste blast, high quality topical render, toothpaste refinery, rpg item render, 3d game object, smooth surface render, game asset, seperated game asset, syringe, 3d asset, spray brush, 3d rendered model, modeled in 3 d, liquid glue spots, blender rendering"
"0,108,-54.png","a red, white and blue umbrella on a black background, toothpaste blast, high quality topical render, spray brush, game asset, syringe, seperated game asset, 3d game object, toothpaste refinery, cone, rpg item render, scratched vial, perfume bottle, serrated point, smooth surface render, painting of one health potion, glue dropping"
"0,108,-63.png","a red, white and blue umbrella on a black background, syringe, rpg item render, high quality topical render, toothpaste blast, 3d game object, cone, game asset, low quality 3d model, painting of one health potion, scratched vial, low poly 3d model, serrated point, low - poly 3 d model, rendered 3d model"
"0,108,-72.png","a red, white and blue kite is flying in the dark, high quality topical render, toothpaste blast, syringe, game asset, rpg item render, low quality 3d model, toothpaste refinery, sharp focus 3 d, scratched vial, painting of one health potion, spray brush, glue dropping, serrated point, blood spray, seperated game asset"
"0,108,-81.png","a red, white and blue kite is flying in the dark, toothpaste blast, high quality topical render, toothpaste refinery, rpg item render, syringe, cone, game asset, seperated game asset, videogame asset, glue dropping, low quality 3d model, painting of one health potion, spray brush, seamless game texture, 3d game object"
"0,108,-9.png","a close up of a street light in the dark, high quality topical render, rpg item render, seamless game texture, 3 d render 1 5 0 mm lens, toothpaste blast, smooth surface render, 3d rendered model, masterpiece. rendered in blender, photorealistic anamorphic lens, rendered in maya, 3dexcite, a 3D render, 3d product"
"0,108,-90.png","an airplane flying in the sky at night, toothpaste blast, syringe, rpg item render, toothpaste refinery, high quality topical render, blood spray, painting of one health potion, game asset, seperated game asset, cone, untextured, uncompressed png, scratched vial, low quality 3d model, 3d rendered model, glue dropping, inventory item"
"0,108,0.png","a toilet paper roll sitting on top of a black surface, high quality topical render, flares anamorphic, uncompressed png, nootropic stimulant, anamorphic film, panoramic anamorphic, pincushion lens effect, 3 d render 1 5 0 mm lens, photorealistic anamorphic lens, scratched vial, zinc white, anamorphic shot lens"
"0,108,18.png","a tube of toothpaste on a black background, toothpaste blast, uncompressed png, rpg item render, high quality topical render, 3dexcite, toothpaste refinery, medium sensor, tubes fused with the body, simple primitive tube shape, nootropic stimulant, rpg game item, nasal strip, petroleum vitamin, rpg item, sharp focus 3 d, smoothed lip line"
"0,108,27.png","a rocket is flying through the dark sky, toothpaste blast, rpg item render, high quality topical render, uncompressed png, seamless game texture, toothpaste refinery, rpg game item, videogame asset, rpg item, smooth surface render, 3dexcite, ultra render, simple primitive tube shape, healing tubes, flares anamorphic, sharp focus 3 d"
"0,108,36.png","a rocket is flying through the dark sky, toothpaste blast, toothpaste refinery, rpg item render, high quality topical render, seamless game texture, uncompressed png, painting of one health potion, rpg game item, videogame asset, argerm, smooth surface render, extremely detailed brush, cone, clean 3 d render, tempera paint, ultra render"
"0,108,45.png","an airplane is flying through the dark sky, toothpaste blast, rpg item render, blue v2 rocket in space, toothpaste refinery, high quality topical render, uncompressed png, frostbite 3 engine rendered, rocket launch, cone, videogame asset, seamless game texture, rocket launching, candle volumetric, 3d rendered model, rocket launcher, frostbite 3 rendered"
"0,108,54.png","a rocket is flying through the dark sky, blue v2 rocket in space, cone, icbm, toothpaste blast, launch test, space craft, rocket launch, uncompressed png, rocket launching into the sky, launching to space, rocket launching, launch tracking missiles, octsne render, in-game 3d model, artists impression, frostbite 3 engine rendered"
"0,108,63.png","an airplane is flying in the sky at night, blue v2 rocket in space, icbm, rocket launching into the sky, rocket launch, launch test, cone, launching to space, uncompressed png, space craft, in-game 3d model, rocket, super cool rocket, rocket launching, holding a rocket, launch tracking missiles, rocket launcher"
"0,108,72.png","an airplane is flying in the sky at night, blue v2 rocket in space, icbm, uncompressed png, in-game 3d model, rocket launching into the sky, rocket launch, launching to space, rocket, ue5 render, launch test, moonray render, octsne render, !dream abandoned rocket ship, low quality 3d model"
"0,108,81.png","an airplane is flying in the sky at night, blue v2 rocket in space, icbm, uncompressed png, in-game 3d model, moonray render, rocket, rocket launcher, !dream abandoned rocket ship, low quality 3d model, ultra sharp - - ar 1 6 : 9, game asset, super cool rocket, rocket launch, untextured"
"0,108,9.png","a close up of a tube on a black background, toothpaste blast, seamless game texture, uncompressed png, high quality topical render, rpg item render, detailed product image, extremely detailed brush, toothpaste refinery, tiny gaussian blur, videogame asset, miniature product photo, transparent background, 3dexcite, very small brushstrokes, product image, nootropic stimulant"
"0,108,90.png","a very tall white and blue object in the sky, blue v2 rocket in space, icbm, ultra sharp - - ar 1 6 : 9, uncompressed png, rocket, in-game 3d model, rocket launcher, super cool rocket, game asset, rocket launch, holding a rocket, rocket launching into the sky, nuke, rpg item render"
"0,126,-18.png","a close up of a street light on a black background, high quality topical render, rpg item render, 3 d render 1 5 0 mm lens, 3d rendered model, emissive bssrdf, seamless game texture, untextured, inspired by Vija Celmins, toothpaste blast, fluorescent lamp, modeled in 3 d, side scroller, rendered in maya"
"0,126,-27.png","a space shuttle is flying through the dark sky, high quality topical render, toothpaste blast, rpg item render, uv map, untextured, seamless game texture, 3d rendered model, emissive bssrdf, fluorescent lamp, 3d game object, seperated game asset, 3dexcite, povray, 3d product"
"0,126,-36.png","an airplane is flying through the dark sky, high quality topical render, toothpaste blast, rpg item render, seamless game texture, smooth surface render, 3 d render 1 5 0 mm lens, untextured, 3d rendered model, fluorescent lamp, povray, rendered in corona, modeled in 3 d, rendered 3d model, cinema 4 d sharp focus"
"0,126,-45.png","a red white and blue object flying in the sky, paint knife, high quality topical render, toothpaste blast, syringe, rpg item render, untextured, scratched vial, low quality 3d model, spray brush, smooth surface render, blood spray, in-game 3d model, game asset, 3 d hammer modeling, 3d game object, 3d asset"
"0,126,-54.png","an airplane is flying through the dark sky, toothpaste blast, rpg item render, paint knife, high quality topical render, syringe, 3 d hammer modeling, serrated point, smooth surface render, blender model, sharp render, cinema 4 d sharp focus, blood spray, low quality 3d model, render in blender, 3d game object, blender rendering"
"0,126,-63.png","an airplane is flying in the sky at night, syringe, scratched vial, rpg item render, serrated point, blood spray, blood collection vials, holding syringe, seperated game asset, toothpaste blast, game asset, vial of stars, syringes, painting of one health potion, bloody knife, red spike aura in motion"
"0,126,-72.png","an airplane is flying through the dark sky, syringe, scratched vial, rpg item render, serrated point, paint knife, holding syringe, blood spray, blood collection vials, painting of one health potion, syringes, game asset, bloody knife, uncompressed png, high quality topical render, toothpaste blast, seperated game asset"
"0,126,-81.png","an airplane is flying through the dark sky, syringe, rpg item render, cone, high quality topical render, game asset, toothpaste blast, low quality 3d model, seperated game asset, in-game 3d model, 3d game object, serrated point, painting of one health potion, paint knife, low poly 3d model"
"0,126,-9.png","a close up of a tube on a black background, rpg item render, high quality topical render, 3 d render 1 5 0 mm lens, well rendered.:1, masterpiece. rendered in blender, 3d rendered model, smooth surface render, scratched vial, syringe, high sample render, rendered 3d model, rendered in 3 dsmax, filmic render"
"0,126,-90.png","an airplane is flying in the dark sky, blue v2 rocket in space, rpg item render, cone, syringe, rocket launch, pointy conical hat, high quality topical render, toothpaste blast, game asset, untextured, in-game 3d model, low quality 3d model, rocket launching into the sky, rapier, uncompressed png"
"0,126,0.png","a close up of a toilet paper roll on a black background, rpg item render, 3 d render 1 5 0 mm lens, high quality topical render, well rendered.:1, uncompressed png, painting of one health potion, photorealistic anamorphic lens, flares anamorphic, 3d rendered model, nootropic stimulant, filmic render"
"0,126,18.png","a tube of toothpaste on a black background, toothpaste blast, high quality topical render, seamless game texture, miniature product photo, product image, detailed product image, product render, 3 d product render, official product image, 3d product, 35 mm product photo”, product design render, toothpaste refinery, highly detailed product photo, rpg item render"
