filename,prompt
"0,0,-18.png","a close up of an apple in the dark, phobos, floating planets and moons, cycles4d, break of dawn on pluto, moody gold planet, lump of native gold, outer wilds, pluto, inspired by Ma Yuan, the moon orbiting other moons, moonstone, spherical body, cycles4d render, octave render, apophis"
"0,0,-27.png","a large yellow object in the dark sky, moody gold planet, cycles4d, inspired by Ma Yuan, cycles4d render, break of dawn on pluto, radiosity rendering, lump of native gold, floating planets and moons, pretty highlights and specular, a raytraced image, phobos, cycles 3 d render, rendered in nvidia's omniverse"
"0,0,-36.png","a close up of a yellow moon in the dark sky, moody gold planet, cycles4d, break of dawn on pluto, cycles4d render, terraformed mars, inspired by Ma Yuan, outer wilds, yellow ocre tint dominant, glsl - shaders, floating planets and moons, octave render, pluto, barsoom, radiosity rendering"
"0,0,-45.png","a large yellow object in the dark sky, moody gold planet, cycles4d, cycles4d render, break of dawn on pluto, octave render, inspired by Ma Yuan, floating planets and moons, radiosity rendering, pluto, fractal flame. highly_detailded, rendered in nvidia's omniverse, cycles 3 d render, glsl - shaders"
"0,0,-54.png","a close up of a yellow apple on a black background, cycles4d render, cycles4d, moody gold planet, octave render, inspired by Ma Yuan, floating planets and moons, break of dawn on pluto, glsl - shaders, outer wilds, yellow ocre tint dominant, radiosity rendering, inspired by Jules Tavernier, octrane render"
"0,0,-63.png","a close up of an apple in the dark, cycles4d render, cycles4d, octave render, moody gold planet, glsl - shaders, inspired by Ma Yuan, radiosity rendering, moonray render, octrane render, 3d 8k octan render, moon surface, cycles 3 d render, outer wilds, ssao 8 k"
"0,0,-72.png","a small yellow object in the dark sky, moody gold planet, octave render, glsl - shaders, cycles4d render, inspired by Ma Yuan, cycles4d, ssao 8 k, yellow ocre tint dominant, submerged on titan, octrane render, venus surface, sepia sun, terraforming jezero crater, moon surface, outer wilds"
"0,0,-81.png","a yellow apple sitting on top of a black surface, submerged on titan, venus surface, moody gold planet, portrait of a mystical giant eye, ocean on planet titan, spring on saturn, over looking saturn, radiosity rendering, octrane render, break of dawn on pluto, break of dawn on venus, terraforming jezero crater, octave render, sepia sun"
"0,0,-9.png","a close up of an apple in the dark, phobos, cycles4d, floating planets and moons, octave render, visiting saturn, pluto, with small object details, break of dawn on pluto, charon, cycles4d render, saturn, octsne render, sulfur, maya render, moon ryas, apophis, lump of native gold"
"0,0,-90.png","a close up of an object in the sky, submerged on titan, ocean on planet titan, portrait of a mystical giant eye, moody gold planet, venus surface, submarine camera imagery, saturn, spring on saturn, over looking saturn, 3d 8k octan render, radiosity rendering, astronomical imaging, an open eye in its center, octave render"
"0,0,0.png","a close up of an apple in the dark, cycles4d, phobos, floating planets and moons, octave render, cycles4d render, visiting saturn, rendered in corona, octsne render, inspired by Ma Yuan, charon, spring on saturn, outer wilds, with small object details, pluto, golden apple, a raytraced image, saturn"
"0,0,18.png","a close up of an apple on a black background, 4 k hd wallpapear, golden apple, an apple, a raytraced image, still life of an apple, inspired by Vija Celmins, an apple doing crossfit, rendered in corona, povray, 3 d raytraced masterpiece, pear, webgl render, outer wilds screenshot"
"0,0,27.png","a close up of an apple on a black background, golden apple, a raytraced image, 4 k hd wallpapear, an apple, still life of an apple, rendered in corona, 3 d raytraced masterpiece, an apple doing crossfit, webgl render, with lemon skin texture, povray, apple, render corona, modeled in 3 d"
"0,0,36.png","a close up of an apple on a black background, golden apple, 4 k hd wallpapear, a raytraced image, an apple, rendered in corona, povray, still life of an apple, 3 d raytraced masterpiece, with lemon skin texture, pear, an apple doing crossfit, webgl render, render corona, photorealistic-n 9"
"0,0,45.png","a close up of an apple on a black background, povray, golden apple, with lemon skin texture, 4 k hd wallpapear, cycles4d, pear, rendered in corona, cycles4d render, octave render, cycles 3 d render, an apple, phobos, a raytraced image, pluto, a computer rendering, rendered image"
"0,0,54.png","a close up of an apple on a black background, povray, 4 k hd wallpapear, cycles4d, cycles4d render, golden apple, outer wilds, outer wilds screenshot, pear, with lemon skin texture, rendered in corona, phobos, floating planets and moons, an apple, cycles 3 d render, pluto"
"0,0,63.png","a close up of an apple on a black background, outer wilds, outer wilds screenshot, povray, golden apple, pear, 4 k hd wallpapear, cycles4d render, pluto, an apple, phobos, cycles4d, 3 d image, octave render, with lemon skin texture, a raytraced image, rendered in corona"
"0,0,72.png","a close up of an apple in the dark, outer wilds screenshot, golden apple, outer wilds, a raytraced image, an apple, povray, inspired by Vija Celmins, pear, 3 d raytraced masterpiece, 3 d image, ray traced sun light, depth map, rendered in corona, rendered image, still life of an apple"
"0,0,81.png","a close up of an apple in the dark, outer wilds screenshot, golden apple, outer wilds, a raytraced image, an apple, inspired by Vija Celmins, povray, still life of an apple, taken through a telescope, the apple and the moon, raytraced realistic, 3 d raytraced masterpiece, ray traced sun light"
