filename,prompt
"0,0,-18.png","a box of can openers on a black background, can, open, cans, tin can, in dayz, opengl, crescent wrench, csgo sticker, open belly, can of paint, american canteen, box cutter, open door, holding a tin can, :6 smoke grenades, soda cans, caseless ammunition, centerd, unopened"
"0,0,-27.png","a box of can openers on a black background, can, open, cans, tin can, opengl, crescent wrench, can of paint, caseless ammunition, open belly, in dayz, american canteen, open door, screen space global illumination, :6 smoke grenades, centerd, open books, octan render, open hand, open happy mouth"
"0,0,-36.png","a box of can openers on a black background, can, open, cans, caseless ammunition, tin can, crescent wrench, can of paint, opengl, open belly, in dayz, open books, open door, :6 smoke grenades, open happy mouth, open hand, who can open the mind, centerd, american canteen, csgo sticker"
"0,0,-45.png","a box of can openers on a black background, can, cans, tin can, open, caseless ammunition, can of paint, opengl, soda cans, crescent wrench, open happy mouth, with labels. high quality, screen space global illumination, open hand, open belly, open books, :6 smoke grenades, holding a tin can, metal shutter"
"0,0,-54.png","a green and black box on a black background, can, cans, tin can, opengl, can of paint, open, screen space global illumination, soda cans, in dayz, caseless ammunition, 3d game object, with labels. high quality, open happy mouth, open hand, open books, :6 smoke grenades, open window ib background"
"0,0,-63.png","a black and green box on a black background, tin can, can, cans, can of paint, soda cans, in dayz, open, :6 smoke grenades, holding a tin can, csgo sticker, cosmetics, with labels. high quality, advertisment, trash can, green: 0.5, caseless ammunition, screen space global illumination"
"0,0,-72.png","a black and green box on a black background, inspect in inventory image, in dayz, green: 0.5, with labels. high quality, packaging of the world, package cover, later confirm hyperrealism, packaging award, comic book:.2 | unreal engine:.3, (rust), ingame image, box cutter, images on the store website"
"0,0,-81.png","a close up of a battery on a black background, package cover, green: 0.5, with labels. high quality, packaging award, lorem ipsum dolor sit amet, packaging of the world, green: 0.25, so - s 1 4 8 ft light, box art, images on the store website, still in package"
"0,0,-9.png","a black and green business card on a black background, can, crescent wrench, open, cans, tin can, metal shutter, centerd, open belly, box cutter, open door, can of paint, with labels. high quality, american canteen, in dayz, oven, flat metal hinges, who can open the mind, open books, seamless game texture"
"0,0,-90.png","a close up of a battery on a black background, in dayz, green: 0.5, csgo sticker, inspect in inventory image, in game pathologic 2, (rust), ( ( dark green, dayz, ingame image, from the game pathologic 2, green: 0.25, with labels. high quality, from valve, in tarkov"
"0,0,0.png","a black and green business card on a black background, can, cans, metal shutter, tin can, crescent wrench, open, open books, product label, with labels. high quality, package cover, open belly, open door, centerd, can basdogan, open happy mouth, caseless ammunition, packaging design, can of paint, product image, opening"
"0,0,18.png","a box of can openers on a black background, can, tin can, cans, open, crescent wrench, can of paint, opengl, csgo sticker, open door, soda cans, unopened, in dayz, holding a tin can, metal shutter, open belly, with labels. high quality, add text: auto repair, centerd, contain"
"0,0,27.png","a box of can openers on a black background, can, crescent wrench, cans, open, tin can, can of paint, centerd, metal shutter, open door, open belly, opengl, flat metal hinges, open books, with labels. high quality, box cutter, screen space global illumination, who can open the mind, caseless ammunition"
"0,0,36.png","a box of can openers on a black background, cans, tin can, can, crescent wrench, open, open belly, can of paint, soda cans, can basdogan, with labels. high quality, open door, package cover, open hand, american canteen, centerd, metal shutter, caseless ammunition, open books, garbage wheel bin"
"0,0,45.png","a box of can openers on a black background, tin can, cans, can, crescent wrench, can of paint, soda cans, open, holding a tin can, flat metal hinges, picking up a can beans, can basdogan, caseless ammunition, with labels. high quality, open belly, american canteen, sardine in a can, metal lid"
"0,0,54.png","a box of can openers on a black background, tin can, cans, can, crescent wrench, can of paint, open belly, flat metal hinges, open, holding a tin can, soda cans, metal kitchen utensils, picking up a can beans, american canteen, can basdogan, with labels. high quality, metal handles, metal lid"
"0,0,63.png","a pack of cigarettes sitting on top of a black background, 3d product, optical caustic lighting, cad cam cae, product image, medical supplies, surgical iv bag, sharpen high quality, product label, spray brush, with labels. high quality, car paint, surgical implements, commercial washroom hand dryer, porcelain organic tissue"
"0,0,72.png","a package of cigarettes sitting on top of a black background, spray brush, gelatine silver process, packaging design, packaging award, 1/2 pro mist filter, spoon slim figure, packaging of the world, product image, packaging, product label, sharpen high quality, zinc white, diseno limpio de facil lectura, with labels. high quality"
"0,0,81.png","a package of toothbrushes on a black background, packaging of the world, product label, spoon slim figure, with labels. high quality, product image, barbecuing chewing gum, chewing tobacco, garbage wheel bin, sharpen high quality, box cutter, packaging award, listing image, packaging design, spray brush, diseno limpio de facil lectura"
"0,0,9.png","a box of can openers on a black background, can, tin can, cans, crescent wrench, open, can of paint, metal shutter, open door, in dayz, opengl, holding a tin can, centerd, open belly, american canteen, soda cans, open hand, flat metal hinges, :6 smoke grenades, garry's mod"
"0,0,90.png","a package of toothbrushes on a black background, pathology sample test tubes, product label, spoon slim figure, with labels. high quality, stylized liquid smoke twisting, packaging of the world, blood collection vials, candle volumetric, cooking oil, barbecuing chewing gum, box cutter, listing image, mortar and pestle, schlieren flow visualisation"
"0,108,-18.png","a close up of a box on a black background, octane lighting, octane render dynamic lighting, octane renderer”, holding a battery, octave render, in game capture 3d render, rendered in corona, rendered in pov - ray, octane renderer, cinematic camera, cinematics lighting, high quality topical render, well rendered.:1, diode"
"0,108,-27.png","a black and green object flying through the air, octane lighting, octane renderer”, holding a battery, octave render, octane render dynamic lighting, clay render, octane renderer, high quality topical render, faint dynamic lighting, rendered in corona, garry's mod, in game capture 3d render, chewing on a video card, quixel"
"0,108,-36.png","a close up of a black object in the sky, inspect in inventory image, high quality topical render, rendered 3d model, 3d rendered model, sidefx, well rendered.:1, 3d 8k octan render, rendered in pov - ray, 8 k dop dof, octave render, :6 smoke grenades, untextured"
"0,108,-45.png","a tube of toothpaste on a black background, 3d rendered model, 3d 8k octan render, rendered 3d model, holding a battery, octane lighting, 8 k dop dof, vray 8k, in game capture 3d render, well rendered.:1, octave render, 3dcoat h 648, rendered in pov - ray"
"0,108,-54.png","a tube of toothpaste on a black background, inspect in inventory image, rpg item render, untextured, rendered 3d model, vhs tape, 3d rendered model, :6 smoke grenades, well rendered.:1, seperated game asset, in dayz, asset store, smoke grenade, in-game 3d model, 3d game object"
"0,108,-63.png","a close up of a battery on a black background, inspect in inventory image, rpg item render, :6 smoke grenades, vhs tape, vcr tape, in-game 3d model, seperated game asset, in dayz, rendered 3d model, damage paper, smoke grenade, inventory item, smoke grenades, 1 2 0 0 dpi scan"
"0,108,-72.png","a close up of a battery on a black background, rpg item render, inspect in inventory image, in dayz, smoke grenade, :6 smoke grenades, holding a battery, well rendered.:1, in-game 3d model, smoke grenades, rendered 3d model, green: 0.5, garry's mod, dayz, untextured"
"0,108,-81.png","a close up of a cell phone on a black background, :6 smoke grenades, inspect in inventory image, smoke grenade, rpg item render, smoke grenades, csgo sticker, in dayz, inventory item, high quality topical render, green: 0.5, in tarkov, damage paper, fulcolor octane remder, box cutter, 3d rendered model"
"0,108,-9.png","a black box sitting on top of a black surface, baked bean skin texture, untextured, octane renderer”, 3d game object, daz occlusion, octane lighting, seamless game texture, rendered in corona, well rendered.:1, seperated game asset, faint dynamic lighting, game asset, rpg item render, thin dof, in game capture 3d render"
"0,108,-90.png","a close up of a remote control on a black background, :6 smoke grenades, inspect in inventory image, holding a battery, smoke grenade, smoke grenades, fulcolor octane remder, in dayz, green: 0.5, battery, 4 k sharpening, damage paper, dim flashlight lighting, chroma green background, in tarkov"
"0,108,0.png","a black box with a green logo on it, octane lighting, octane renderer”, daz occlusion, rendered in corona, high quality topical render, octave render, in game capture 3d render, octane render dynamic lighting, 3d rendered model, well rendered.:1, 3d game object, octane renderer, 3dcoat h 648"
"0,108,18.png","a black and white photo of a black and white photo of a black and white photo of a black and white photo of a black and white, inspect in inventory image, :6 smoke grenades, octane lighting, c4 explosive, high quality topical render, screen space global illumination, cinematics lighting, garry's mod, 3dcoat h 648"
"0,108,27.png","a black and white photo of a black and white photo of a black and white photo of a black and white photo of a black and white, lockbox, csgo sticker, inspect in inventory image, military storage crate, box cutter, garry's mod, in-game 3d model, from half-life, :6 smoke grenades"
"0,108,36.png","a black and white photo of a black and white photo of a black and white photo of a black and white photo of a black and white, csgo sticker, inspect in inventory image, lockbox, military storage crate, highly detailed skin, box cutter, very detailed skin, holo sticker, ultra sharp - - ar 1 6 : 9, csgo team sticker"
"0,108,45.png","a black and white photo of a black and white photo of a black and white photo of a black and white photo of a black and white, csgo sticker, inspect in inventory image, box cutter, lockbox, military storage crate, csgo team sticker, :6 smoke grenades, baked bean skin texture, add text: auto repair, 3dcoat h 648"
"0,108,54.png","a close up of a box of food on a black background, inspect in inventory image, spray brush, box cutter, csgo sticker, detailed pistol trigger, lockbox, 3d gun model, ultra sharp - - ar 1 6 : 9, screen space global illumination, holding pistol, sharp focus 3 d, syringe, :6 smoke grenades, 3d product"
"0,108,63.png","a pair of scissors in a package on a black background, inspect in inventory image, box cutter, sharp focus 3 d, inventory item, csgo sticker, paint knife, target reticles, screen space global illumination, first person shooter game hud, lockbox, caseless ammunition, 3d product, pair of keycards on table, style of mirror\'s edge"
"0,108,72.png","a package of toothbrushes on a black background, box cutter, inspect in inventory image, sharp focus 3 d, csgo sticker, 4 k sharpening, 1 2 0 0 dpi, 1200 dpi, 3dexcite, caseless ammunition, holding pdw, ultra sharp - - ar 1 6 : 9, small gadget, spray brush, paint knife"
"0,108,81.png","a pair of scissors in a package on a black background, visor screen for face, target reticles, small rectangular glasses, sharp focus 3 d, pair of keycards on table, surgical implements, shield sunglasses, headset, caseless ammunition, combat goggles, riot shields, inspect in inventory image, box cutter, reflective sunglasses, csgo sticker, small gadget"
"0,108,9.png","a black box with a green label on it, high quality topical render, octane renderer”, untextured, inspect in inventory image, octane lighting, garry's mod, faint dynamic lighting, well rendered.:1, daz occlusion, baked bean skin texture, octave render, seperated game asset, cel shaded pbr, high quality photorealism"
"0,108,90.png","a close up of a package of toothbrushes on a black background, box cutter, detailed pistol trigger, inspect in inventory image, surgical supplies, syringe, medical supplies, cybernetic implant h 768, ui card, surgical equipment, sharp focus 3 d, surgical implements, 3d product, csgo sticker, caseless ammunition, spray brush"
"0,126,-18.png","a black and green box on a black background, octane lighting, octane renderer”, octane render dynamic lighting, octane renderer, octave render, 3d 8k octan render, octane renderer. cgsociety, rendered in corona, in game capture 3d render, octane render w 1024, octan render, 3d rendered model"
"0,126,-27.png","a close up of a box on a black background, octane renderer”, octave render, octane renderer, rendered in corona, octane render dynamic lighting, octane lighting, well rendered.:1, 3d 8k octan render, in game capture 3d render, 3d rendered model, rendered in maya, rendered in high octane, clay render"
"0,126,-36.png","a close up of a box on a black background, octane renderer”, rendered in corona, in game capture 3d render, well rendered.:1, octane render dynamic lighting, daz occlusion, clay render, octane renderer, vray caustics, 3d rendered model, 3 d daz occlusion, cryengine render, rendered in pov - ray"
"0,126,-45.png","a black and green box with a black background, 3d 8k octan render, octane render dynamic lighting, rendered in pov - ray, octane lighting, rendered in corona, sidefx, well rendered.:1, octane renderer”, rtx rendering, in game capture 3d render, 3d rendered model, ray traced lighting"
"0,126,-54.png","a tube of toothpaste on a black background, rtx rendering, nvidia geforce, sidefx, low quality 3d model, well rendered.:1, rendered in pov - ray, high quality rendering, 3d rendered model, graphics card, chewing on a video card, rendered 3d model, 8k3d, 8k 3d, 8 k 3 d"
"0,126,-63.png","a tube of toothpaste on a black background, inspect in inventory image, low quality 3d model, in-game 3d model, :6 smoke grenades, smoke grenade, smoke grenades, rpg item render, high quality topical render, 3d rendered model, well rendered.:1, rendered 3d model, in dayz, csgo sticker, untextured"
"0,126,-72.png","a close up of a battery on a black background, inspect in inventory image, 1 2 0 0 dpi scan, holding a battery, box cutter, in-game 3d model, 2 4 0 0 dpi, 2400 dpi, 1200 dpi, 1 2 0 0 dpi, 4 k sharpening, flashlight on"
"0,126,-81.png","a close up of a battery on a black background, inspect in inventory image, holding a battery, massive battery, rpg item render, battery, flashlight on, dim flashlight lighting, game asset, green: 0.5, 3dcoat h 648, in-game 3d model, small gadget, medium sensor, seperated game asset"
"0,126,-9.png","a close up of a black and green tone tone tone tone tone tone tone tone tone tone, octane renderer”, octane lighting, octave render, quixel, in game capture 3d render, octane renderer, 3d 8k octan render, octan render, octane render dynamic lighting, oil on canevas, well rendered.:1"
"0,126,-90.png","a close up of a cell phone on a black background, :6 smoke grenades, inspect in inventory image, green: 0.5, smoke grenades, battery, smoke grenade, marker”, dim flashlight lighting, holding a battery, in tarkov, black marker, csgo sticker, in dayz, 4 k sharpening, ambient green light, flashlight on"
"0,126,0.png","a black and white photo of a black and green box, octane renderer”, octane lighting, octane renderer, octave render, in game capture 3d render, octane render dynamic lighting, octane renderer. cgsociety, well rendered.:1, 3d rendered model, octan render, quixel, rendered in corona, rendered in high octane"
"0,126,18.png","a black and white photo of a battery, inspect in inventory image, octane lighting, octave render, garry's mod, octane render dynamic lighting, 3dcoat h 648, in game capture 3d render, in-game 3d model, octane renderer”, 3d rendered model, well rendered.:1, octan render, octrane render"
"0,126,27.png","a black and white photo of a black and white photo of a black and white photo of a black and white photo of a black and white, octave render, octane lighting, garry's mod, octane renderer”, 3dcoat h 648, inspect in inventory image, octane render dynamic lighting, fulcolor octane remder, 3d rendered model"
"0,126,36.png","a black and white photo of a black and white photo of a black and white photo of a black and white photo of a black and white, csgo sticker, :6 smoke grenades, octave render, smoke grenade, smoke grenades, inspect in inventory image, caseless ammunition, garry's mod, with labels. high quality, well rendered.:1, realistic smoke"
"0,126,45.png","a black and green tone tone tone tone tone tone tone tone tone tone tone tone tone tone, 3dcoat h 648, csgo sticker, box cutter, octane lighting, garry's mod, screen space global illumination, cfg _ scale 1 5, sharp focus 3 d, 3d rendered model, with labels. high quality, inspect in inventory image"
