filename,prompt
"0,0,-18.png","a bottle of ketchup on a black background, vulcano, volcano texture, vulcanic ground, volcanic, volcano, volcanos, volcanic workshop background, volcano background, dark volcano background, lava texture, in volcano, in a volcano, volcano eruption, petroleum vitamin, volcanic background, volcanoes, volcanic eruption, lava rock, fire lava, volcano valley"
"0,0,-27.png","a bottle of toothpaste on a black background, vulcano, vulcanic ground, volcano texture, volcano, volcanos, volcanic, volcanic workshop background, dark volcano background, volcano valley, :6 smoke grenades, chianti molotov cocktails, volcano eruption, lava, high quality topical render, volcano background, lava texture, lava field, volcano setting"
"0,0,-36.png","a tube of toothpaste on a black background, vulcano, vulcanic ground, volcano texture, volcano, volcanos, volcanic, dark volcano background, volcanic workshop background, volcano valley, volcano eruption, volcano background, in volcano, volcano setting, in a volcano, volcanic eruption, volcanic background, lava texture, obsidian slime, active volcano, volcanoes"
"0,0,-45.png","a bottle of ketchup on a black background, painting of one health potion, vulcano, blood spray, liquid that has a viscous, marvelous designer substance, high quality topical render, visible paint texture, vulcanic ground, vibrant: 0.75, candle volumetric, petroleum vitamin, evil fluid, vtmb, (rust), violence blood"
"0,0,-54.png","a tube of toothpaste on a black background, blood spray, vulcano, liquid that has a viscous, painting of one health potion, blood vesels, vermilion, red liquid, evil fluid, liquid glue spots, marvelous designer substance, volumetric object, vulgar, valorant, high quality topical render, tempera paint, vulcanic ground"
"0,0,-63.png","a red and white tube on a black background, high quality topical render, painting of one health potion, rendered in corona, pbr render, game asset, cel shaded pbr, toothpaste blast, ultra render, seperated game asset, rhinoceros 3d, rendered in arnold, petroleum vitamin, octane renderer”, rendered in pov - ray, mate painting mix rendering"
"0,0,-72.png","a tube of toothpaste on a black background, high quality topical render, pbr render, 3 d render 1 5 0 mm lens, rendered in pov - ray, redshift renderer, campbell's soup can, octane renderer”, pbr texture, seperated game asset, pbr materials, clay render, volumetric object, mixer rendering, blender rendering, 3d game object"
"0,0,-81.png","a red and white object in the dark sky, large opaque visor, opaque visor, tricorne hat, rpg item render, raymarching, pbr render, red oval turban, raytraced highlights, maroon hat, glass oled visor head, a raytraced image, cranberry helmet, astronaut helmet, silk hat, a clown floating in space, closed visor"
"0,0,-9.png","a bottle of shampoo on a black background, volcano texture, vulcano, volcanic, vulcanic ground, volcano, volcano background, volcanos, lava texture, volcanic background, volcanic workshop background, dark volcano background, volcanic eruption, volcanoes, fire lava, volcano eruption, body with black and red lava, volcanic embers, lava rock, in a volcano"
"0,0,-90.png","a close up of a red object on a black background, baked bean skin texture, uncompressed png, fractal flame. highly_detailded, painting of one health potion, spherical lens, fractal flame, high quality topical render, transparent goo, rpg item render, transparent carapace, prime lens, game asset, gelios lens, distant lens"
"0,0,0.png","a bottle of shampoo on a black background, vulcano, volcano texture, vulcanic ground, volcanic, lava texture, volcano, volcano background, volcanic background, lava rock, fire lava, volcanos, dark volcano background, body with black and red lava, background of a lava river, volcanic eruption, lava field, volcano eruption, volcanoes, volcanic workshop background"
"0,0,18.png","a bottle of shampoo on a black background, vulcano, volcano texture, vulcanic ground, volcanic, volcano, volcanic workshop background, volcanos, volcano background, volcanic background, dark volcano background, volcano eruption, volcanoes, volcano valley, in volcano, lava texture, in a volcano, volcanic eruption, volcano setting, active volcano, lava, volcanic skeleton"
"0,0,27.png","a bottle of shampoo on a black background, vulcano, volcano texture, volcanic, vulcanic ground, volcano, volcanic workshop background, volcanic background, volcano background, volcanos, dark volcano background, in volcano, volcano valley, volcanoes, volcano eruption, volcano setting, volcanic eruption, lava texture, active volcano, lava field, in a volcano, volcanic skeleton"
"0,0,36.png","a bottle of shampoo on a black background, vulcano, vulcanic ground, volcano texture, volcanic, volcanic background, volcano, dark volcano background, volcanic workshop background, volcano background, volcanoes, volcano valley, volcanos, volcano eruption, active volcano, in volcano, volcanic eruption, body with black and red lava, volcano setting, volcanic embers, volcanic skeleton"
"0,0,45.png","a bottle of shampoo on a black background, snake oil skin, blood spray, baked bean skin texture, petroleum vitamin, marvelous designer substance, toothpaste blast, substance painter, high quality topical render, vulcanic ground, human skin texture, :6 smoke grenades, liquid glue spots, red liquid, cadmium red, c4 explosive, vulcano"
