filename,prompt
"0,0,-18.png","a package of toilet tissue on a black background, gauze, gaussian blur, focus and ( gaussian blur ), medical supplies, visor screen for face, surgical mask covering mouth, surgical supplies, 3d product, game asset, sharp focus 3 d, gaseous materials, polarizer filter, bag - valve mask, celadon glaze, medical mask"
"0,0,-27.png","a bag of toilet paper on a black background, gauze, gaussian blur, medical supplies, focus and ( gaussian blur ), gum tissue, surgical mask covering mouth, surgical supplies, quixel, vray caustics, game asset, porcelain organic tissue, 3d product, soft volume absorbation, gaseous materials"
"0,0,-36.png","a package of surgical gauze on a black background, gauze, gaussian blur, quixel, medical supplies, porcelain organic tissue, vray caustics, gum tissue, surgical supplies, game asset, soft pads, soft volume absorbation, focus and ( gaussian blur ), plush leather pad, papier colle, gelios lens"
"0,0,-45.png","a package of toilet paper on a black background, quixel, quixel mixer, porcelain organic tissue, medical supplies, vray caustics, cg original, tight wrinkled cloath, quixel megascan, soft volume absorbation, surgical supplies, marvelous designer substance, quixel textures, parchment paper"
"0,0,-54.png","a book with a blue cover on a black background, deckle edge, volumetric object, quixel, maxwell render, medical book, volumetric diffuse shading, filmic render, well rendered.:1, autodesk 3ds max, comic book:.2 | unreal engine:.3, 3d game object, rendered in corona, volumetric modelling"
"0,0,-63.png","a box of tissues on a black background, deckle edge, parchment paper, medical supplies, porcelain organic tissue, photorealistic-n 9, noxious poison diaper, volumetric object, material pack, quixel, damage paper, high quality paper, trapper keeper, raytraced highlights, filmic render, 3d marketplace, autodesk 3ds max, medical book"
"0,0,-72.png","a blue box sitting on top of a black surface, medical supplies, material pack, photorealistic-n 9, parchment paper, filmic render, optical lens flare fx, 3d marketplace, volumetric object, comic book:.2 | unreal engine:.3, 3d game object, surgical supplies, cereal box, inventory item, educational supplies"
"0,0,-81.png","a blue and white box on a black background, untextured, inspect in inventory image, baked bean skin texture, food particles, low quality 3d model, high quality topical render, cereal box, lockbox, no textures, roblox screenshot, in-game 3d model, highly detailed object content, refrigerated storage facility, well rendered.:1, corona rendered"
"0,0,-9.png","a package of sterile sterile sterile sterile sterile sterile sterile sterile sterile sterile sterile sterile sterile sterile sterile, gauze, plush leather pads, soft pads, plush leather pad, medical supplies, game asset, surgical supplies, high resolution product photo, soft volume absorbation, focus and ( gaussian blur )"
"0,0,-90.png","a black and white photo of a box on a black background, inspect in inventory image, untextured, low quality 3d model, box cutter, roblox screenshot, videogame asset, add text: auto repair, in-game 3d model, medical supplies, game asset, inventory item, lockbox, with labels. high quality, no textures, well rendered.:1"
"0,0,0.png","a package of sterile gauze pads on a black background, gauze, plush leather pads, soft pads, plush leather pad, medical supplies, soft volume absorbation, silicone cover, surgical supplies, high resolution product photo, product image, product advertisement, celadon glaze, knee pads, productphoto, official product photo, silicone patch design, medical equipment"
"0,0,18.png","a package of cleaning pads on a black background, gauze, celadon glaze, medical supplies, surgical mask covering mouth, 3d product, nebulizer equipment, focus and ( gaussian blur ), silicone cover, bag - valve mask, high resolution product photo, visor screen for face, gaussian blur, gaseous materials, surgical supplies, medical equipment"
"0,0,27.png","a box of toilet paper on a black background, gauze, medical supplies, 3d product, game asset, plush leather pads, soft pads, games 3 d, plush leather pad, silicone cover, cardboard, surgical supplies, soft volume absorbation, high resolution product photo, 3 d product render, sharp focus 3 d, cybernetic implant h 768"
"0,0,36.png","a package of toilet paper on a black background, game asset, soft pads, gauze, plush leather pad, plush leather pads, knee pads, seperated game asset, games 3 d, medical supplies, product render, diaper-shaped, video game item, silicone cover, 3d game object, gape, rendered in 3 dsmax, drum pads"
"0,0,45.png","a package of gauze pads on a black background, soft pads, plush leather pads, plush leather pad, gauze, medical supplies, soft volume absorbation, knee pads, drum pads, surgical supplies, silicone cover, product image, celadon glaze, high resolution product photo, official product photo, porcelain organic tissue, surgical implements, medical equipment"
"0,0,54.png","a bag of quate pads on a black background, gauze, medical supplies, soft pads, surgical implements, plush leather pads, surgical supplies, plush leather pad, celadon glaze, medical equipment, elbow pads, soft volume absorbation, silicone cover, surgical equipment, 3d product, product image, game asset, knee pads, surgical gear"
"0,0,63.png","a package of gauze pads on a black background, plush leather pads, plush leather pad, gauze, soft pads, medical supplies, knee pads, surgical implements, silicone cover, celadon glaze, medical equipment, surgical supplies, surgical equipment, elbow pads, gum rubber outsole, white bandage tape on fists, product image, square pictureframes"
