filename,prompt
"0,0,-18.png","a close up of a green apple on a black background, lime, lemon wearing sunglasses, 4 k hd wallpapear, anorld render, lemon, uncompressed png, photo of earth from space, kiwi, fruitcore, avacado dream, is holding a tiny planet earth, realistic photo from nasa, rendered in nvidia's omniverse, octsne render"
"0,0,-27.png","a close up of a green apple on a black background, lime, anorld render, uncompressed png, 4 k hd wallpapear, lemon wearing sunglasses, photo of earth from space, octsne render, kiwi, roblox screenshot, lemon, avacado dream, octae render, ultra hd rendered, low quality 3d model, high quality 3 d render"
"0,0,-36.png","a close up of a green apple on a black background, realistic photo from nasa, earth visible below, seen from earth, photo of earth from space, is holding a tiny planet earth, seen from planet earth, zoomed out view, footage from space camera, viewed from earth, 4 k hd wallpapear, earth seen on the dark sky, seen from space"
"0,0,-45.png","a close up of a tennis ball on a black background, spaceengine, is holding a tiny planet earth, earth visible below, earth seen on the dark sky, seen from earth, fractal flame. highly_detailded, seen from planet earth, orbiting earth, green: 0.5, equirectangular projection, desolate gloomy planet, outer wilds"
"0,0,-54.png","a green apple sitting on top of a black surface, fractal flame. highly_detailded, fractal flame, depth map, inspired by Ma Yuan, green: 0.5, spaceengine, cataract. subsurface scattering, untextured, spherical body, daz occlusion, glossy sphere, tiny gaussian blur, dark blue spheres fly around"
"0,0,-63.png","a green apple sitting on top of a black surface, fractal flame. highly_detailded, fractal flame, inspired by Ma Yuan, depth map, untextured, cataract. subsurface scattering, sublime subsurface scattering, gelatinous green goop, strong subsurface scattering, tiny gaussian blur, spaceengine"
"0,0,-72.png","an image of a green object in the dark, fractal flame. highly_detailded, fractal flame, inspired by Ma Yuan, untextured, gelatinous green goop, depth map, green bioluminescent chrometype, cataract. subsurface scattering, sublime subsurface scattering, spherical body, anorld render"
"0,0,-81.png","an image of a green object in the dark, fractal flame, fractal flame. highly_detailded, depth map, gelatinous green goop, inspired by Ma Yuan, green bioluminescent chrometype, anorld render, spherical body, dark green, cataract. subsurface scattering, octave render, untextured"
"0,0,-9.png","a close up of a green apple on a black background, is holding a tiny planet earth, lemon wearing sunglasses, photo of earth from space, lime, 4 k hd wallpapear, fruit world, anorld render, realistic photo from nasa, earth, lemon, footage from space camera, it\'s name is greeny, rendered in nvidia's omniverse"
"0,0,-90.png","an image of a green object in the dark, fractal flame, fractal flame. highly_detailded, inspired by Ma Yuan, gelatinous green goop, depth map, green bioluminescent chrometype, cataract. subsurface scattering, spherical body, octave render, photoscan, radiosity rendering, anorld render"
"0,0,0.png","an apple with a sticker on it in the dark, lemon wearing sunglasses, is holding a tiny planet earth, lime, 4 k hd wallpapear, photo of earth from space, fruit world, rendered in nvidia's omniverse, realistic photo from nasa, orbiting earth, anorld render, mar planet, earth, the sour, earth in space"
"0,0,18.png","a close up of an apple on a black background, is holding a tiny planet earth, orbiting earth, orbit of earth, space probe, photo of earth from space, rendered in nvidia's omniverse, earth, earth in space, realistic photo from nasa, gently caressing earth, inspired by Vija Celmins, earth visible below"
"0,0,27.png","a close up of an apple on a black background, is holding a tiny planet earth, orbiting earth, orbit of earth, floating planets and moons, earth seen on the dark sky, earth visible below, earth, rendered in nvidia's omniverse, spherical body, earth in space, seen from planet earth, glossy sphere, space probe, equirectangular projection"
"0,0,36.png","a close up of a green apple on a black background, is holding a tiny planet earth, orbiting earth, earth visible below, earth seen on the dark sky, earth in foreground, orbit of earth, seen from planet earth, planet earth in foreground, equirectangular projection, earth in space, seen from earth, viewed from earth, earth globe on top"
"0,0,45.png","a green apple sitting on top of a black surface, is holding a tiny planet earth, earth seen on the dark sky, earth visible below, orbiting earth, earth in foreground, photo of earth from space, orbit of earth, seen from earth, anorld render, earth in space, whole earth, rendered in nvidia's omniverse, viewed from earth"
"0,0,54.png","a close up of an apple in the dark, is holding a tiny planet earth, seen from earth, anorld render, earth visible below, earth in foreground, viewed from earth, orbit of earth, earth seen on the dark sky, cgi render, spherical body, rendered in nvidia's omniverse, nasa image, as seen from space, seen from space"
"0,0,63.png","a green apple sitting on top of a black surface, anorld render, lemon wearing sunglasses, lime, 4 k hd wallpapear, lumiol, rendered in nvidia's omniverse, seen from earth, octsne render, nasa image, cgi render, uncompressed png, spherical body, taken from orbit, night time raid, avacado dream"
"0,0,72.png","a green balloon floating in the dark sky, anorld render, rendered in nvidia's omniverse, lime, uncompressed png, spherical body, is holding a tiny planet earth, cgi render, avocado, taken from orbit, 3 d image, seen from earth, rendered image, maya 3 d, maya render, earth visible below, webgl render"
"0,0,81.png","a green balloon floating in the dark sky, orbiting earth, barsoom, earth seen on the dark sky, earth visible below, is holding a tiny planet earth, seen from earth, taken from orbit, nasa image, viewed from earth, alien planet covered in water, earth in foreground, orbit of earth, spherical body, seen from planet earth, gaia"
"0,0,9.png","a close up of a green apple on a black background, is holding a tiny planet earth, photo of earth from space, orbiting earth, rendered in nvidia's omniverse, orbit of earth, fruit world, earth, earth in space, lemon wearing sunglasses, 4 k hd wallpapear, gently caressing earth, whole earth, footage from space camera"
"0,0,90.png","a green balloon floating in the dark sky, is holding a tiny planet earth, taken from orbit, footage from space camera, webgl render, rendered in nvidia's omniverse, anorld render, uncompressed png, outer wilds screenshot, 4 k hd wallpapear, spaceengine, outer wilds, inspired by Ma Yuan, spherical body, 3 d image"
"0,108,-18.png","a green apple with a bite taken out of it, octrane render, octante render, octave render, octae render, a raytraced image, anorld render, outer wilds screenshot, fractal flame. highly_detailded, rendered image, cycles4d, 3 d render 1 5 0 mm lens, outer wilds, alien portrait, depth map"
"0,108,-27.png","a close up of a green apple in the dark, outer wilds screenshot, outer wilds, liminal space photography, fractal flame. highly_detailded, fractal flame, inspired by Chesley Bonestell, glsl - shaders, dark blue spheres fly around, depth map, aerial photo night vision, cycles4d, taken through a telescope"
