filename,prompt
"0,0,-18.png","a large rock in the middle of a dark sky, potato, 3 d render of jerma 9 8 5, peter dutton as a potato, potato skin, potatoes, videogame asset, baked bean skin texture, 3d game object, eve online, low quality 3d model, game asset, masterpiece. rendered in blender, modeled in 3 d, untextured"
"0,0,-27.png","a large rock sitting in the middle of a dark sky, potato, peter dutton as a potato, 3 d render of jerma 9 8 5, potato skin, potatoes, videogame asset, discord profile picture, baked bean skin texture, game asset, a portrait of gordon ramsay, highly detailed high resolution, full body photo of steve, 3d game object, eve online"
"0,0,-36.png","a close up of a rock on a black background, potato, 3 d render of jerma 9 8 5, peter dutton as a potato, videogame asset, potatoes, potato skin, baked bean skin texture, discord profile picture, (rust), a portrait of gordon ramsay, highly detailed high resolution, eve online, game asset, 3d game object"
"0,0,-45.png","an object is shown in the dark sky, potato, 3 d render of jerma 9 8 5, peter dutton as a potato, baked bean skin texture, potatoes, potato skin, a portrait of gordon ramsay, videogame asset, game asset, (rust), seperated game asset, 3d game object, discord profile picture, highly detailed high resolution"
"0,0,-54.png","an object is shown in the dark sky, potato, baked bean skin texture, 3 d render of jerma 9 8 5, peter dutton as a potato, potato skin, potatoes, unrefined sparkling gold nugget, 3d game object, game asset, videogame asset, low quality 3d model, seperated game asset, eve online, rpg item render"
"0,0,-63.png","an object is shown in the dark sky, baked bean skin texture, unrefined sparkling gold nugget, potato, unrefined gold nugget, peter dutton as a potato, 3 d render of jerma 9 8 5, anorld render, 3d game object, clay render, potato skin, potatoes, lump of native gold, made with zbrush, bw 3 d render"
"0,0,-72.png","an object is shown in the dark sky, baked bean skin texture, unrefined sparkling gold nugget, potato, peter dutton as a potato, unrefined gold nugget, anorld render, 3 d render of jerma 9 8 5, clay render, water bear, bw 3 d render, potato skin, panspermia, 3d game object, 3 d clay render"
"0,0,-81.png","an object is shown in the dark sky, baked bean skin texture, unrefined sparkling gold nugget, clay render, helen the bean queen, anorld render, unrefined gold nugget, potato, water bear, ocatne render, 3 d clay render, 3d clay render, 3 d render of jerma 9 8 5, beans, black tar particles"
"0,0,-9.png","a close up of a potato on a black background, potato, peter dutton as a potato, 3 d render of jerma 9 8 5, 3d game object, potato skin, videogame asset, eve online, modeled in 3 d, potatoes, screen shot of cod, baked bean skin texture, a portrait of gordon ramsay, masterpiece. rendered in blender"
"0,0,-90.png","an object is shown in the dark sky, baked bean skin texture, helen the bean queen, unrefined sparkling gold nugget, clay render, anorld render, heavy grain-s 150, beans, mysterious black slime, ocatne render, here is one olive, black slime, 3d clay render, water bear, 3 d clay render"
"0,0,0.png","a close up of a potato on a black background, potato, 3 d render of jerma 9 8 5, peter dutton as a potato, baked bean skin texture, potatoes, 3d game object, potato skin, v tuber, modeled in 3 d, videogame asset, high quality 3 d render, masterpiece. rendered in blender, high quality 3d render"
"0,0,18.png","a close up of a potato on a black background, potato, 3 d render of jerma 9 8 5, peter dutton as a potato, potatoes, baked bean skin texture, potato skin, a portrait of gordon ramsay, 3d game object, videogame asset, v tuber, modeled in 3 d, masterpiece. rendered in blender, (rust)"
"0,0,27.png","a close up of a potato on a black background, potato, peter dutton as a potato, a portrait of gordon ramsay, 3 d render of jerma 9 8 5, potatoes, videogame asset, potato skin, baked bean skin texture, (rust), eve online, portrait of adam jensen, portrait of gordon ramsay, screen shot of cod, highly detailed high resolution"
