filename,prompt
"0,0,-18.png","a bunch of bananas on a black background, clumps of bananas, 3d game object, 3 d raytraced masterpiece, bananas weapon, bananas, banana, banana color, diffuse subsurface scattering, game asset, seperated game asset, rendered 3d model, low quality 3d model, sliced banana, rendered in maya, 3d depth shading"
"0,0,-27.png","a bunch of bananas hanging from a tree, clumps of bananas, 3d game object, 3 d raytraced masterpiece, bananas weapon, bananas, seperated game asset, rendered in maya, masterpiece. rendered in blender, game asset, rendered 3d model, modeled in 3 d, diffuse subsurface scattering, low quality 3d model, 3d asset"
"0,0,-36.png","a bunch of bananas hanging from a tree, clumps of bananas, 3 d raytraced masterpiece, 3d game object, bananas weapon, masterpiece. rendered in blender, diffuse subsurface scattering, rendered in maya, seperated game asset, bananas, subsurface scattering, rendered 3d model, an ambient occlusion render, 3 d modeling"
"0,0,-45.png","a bunch of bananas hanging from a tree, clumps of bananas, 3 d raytraced masterpiece, 3d game object, seperated game asset, bananas weapon, rendered in maya, bananas, masterpiece. rendered in blender, a raytraced image, diffuse subsurface scattering, dead fruits, rendered in renderman, rendered in corona, rendered with renderman"
"0,0,-54.png","a bunch of bananas hanging upside down on a black background, clumps of bananas, 3 d raytraced masterpiece, 3d game object, bananas, bananas weapon, raymarching, sliced banana, rendered in maya, dead fruits, diffuse subsurface scattering, rendered in maya 4 d, vray. subsurface scattering, rendered with renderman"
"0,0,-63.png","a bunch of bananas sitting on top of each other, baked bean skin texture, fruitcore, tooth wu : : quixel megascans, 3d render of intricate wasp, modeled in 3 d, 3 d bee, ocatne render, rendered in corona, hatched ear, with small object details, 3d rendered model, subsurface scattering skin"
"0,0,-72.png","a bunch of bananas hanging upside down on a black background, baked bean skin texture, tooth wu : : quixel megascans, fruitcore, hatched ear, ocatne render, some oak acorns, with small object details, rendered in corona, modeled in 3 d, inner ear, 3d render of intricate wasp, ocatane render"
"0,0,-81.png","a close up of a peeled banana on a black background, baked bean skin texture, blender donut, fruitcore, rendered in corona, rendered in high octane, tooth wu : : quixel megascans, physicality-based render, povray, modeled in 3 d, inner ear, with small object details, ocatne render, ocatane render"
"0,0,-9.png","a bunch of bananas sitting on top of each other, clumps of bananas, 3d game object, bananas weapon, bananas, game asset, 3 d raytraced masterpiece, seperated game asset, banana, banana color, in-game 3d model, low quality 3d model, diffuse subsurface scattering, sliced banana, 3d asset"
"0,0,-90.png","a close up of a bunch of bananas on a black background, fruitcore, some oak acorns, with small object details, tooth wu : : quixel megascans, inner ear, oak acorns, modeled in 3 d, rendered in corona, spherical body, baked bean skin texture, snail shell, nubulae, maya 3 d"
"0,0,0.png","a bunch of bananas sitting on top of each other, clumps of bananas, bananas weapon, 3d game object, game asset, bananas, seperated game asset, banana, in-game 3d model, dead fruits, banana color, sliced banana, 3 d raytraced masterpiece, videogame asset, low quality 3d model, sentient fruit, fruitcore"
"0,0,18.png","a bunch of bananas sitting on top of each other, bananas weapon, clumps of bananas, bananas, banana, fruitcore, sentient fruit, banana color, an alien fruit, dead fruits, 3d game object, fruit, banana trees, game asset, low quality 3d model, in-game 3d model, seperated game asset, untextured"
"0,0,27.png","a bunch of bananas with eyes on them, clumps of bananas, bananas weapon, bananas, banana, seperated game asset, dead fruits, game asset, videogame asset, fruitcore, banana color, sentient fruit, low quality 3d model, in-game 3d model, fruit, strange fruits, high quality 3d realistic, seamless game texture"
"0,0,36.png","a bunch of bananas with faces drawn on them, bananas weapon, clumps of bananas, bananas, dead fruits, game asset, banana, seperated game asset, videogame asset, banana color, fruitcore, strange fruits, fleshy botanical, tropical fruit, sentient fruit, in-game 3d model, fruit, jungle fruit, fruit celebrity, banana trees"
"0,0,45.png","a bunch of ripe bananas hanging from a tree, bananas weapon, clumps of bananas, bananas, banana, banana color, the banana blue gang, game asset, dead fruits, sliced banana, seperated game asset, videogame asset, banana hat, banana trees, fruitcore, low quality 3d model, 3d asset, photorealistic print of exotic"
"0,0,54.png","a bunch of ripe bananas hanging from a tree, bananas weapon, bananas, banana, clumps of bananas, banana color, game asset, seperated game asset, sliced banana, the banana blue gang, videogame asset, banana hat, banana trees, 3d asset, fruitcore, dead fruits, photorealistic print of exotic, gta 5 skin tone"
"0,0,63.png","a bunch of ripe bananas hanging from a tree, bananas weapon, bananas, banana, clumps of bananas, game asset, banana color, seperated game asset, videogame asset, sliced banana, 3d asset, 3d game object, seamless game texture, item art, banana hat, in-game 3d model, league of legends inventory item"
"0,0,72.png","a bunch of ripe bananas hanging from a tree, bananas weapon, bananas, clumps of bananas, banana, game asset, seperated game asset, videogame asset, banana color, sliced banana, 3d asset, seamless game texture, in-game 3d model, 3d game object, banana hat, low quality 3d model, banana trees"
"0,0,81.png","a bunch of ripe bananas hanging from a tree, bananas weapon, clumps of bananas, bananas, banana, game asset, seperated game asset, banana color, 3d asset, videogame asset, in-game 3d model, 3d game object, banana hat, seamless game texture, sliced banana, 3d realistic materials, hi - res textures"
"0,0,9.png","a bunch of bananas sitting on top of each other, bananas weapon, clumps of bananas, bananas, banana, banana color, sentient fruit, game asset, seperated game asset, dead fruits, fruitcore, 3d game object, low quality 3d model, in-game 3d model, an alien fruit, the banana blue gang, untextured"
"0,0,90.png","a bunch of bananas hanging on a black background, bananas weapon, clumps of bananas, bananas, banana, game asset, 3d game object, seperated game asset, in-game 3d model, 3d asset, low quality 3d model, banana color, 3 d raytraced masterpiece, sliced banana, banana hat, seamless game texture"
"0,108,-18.png","a bunch of bananas sitting on top of each other, clumps of bananas, bananas weapon, sliced banana, banana color, bananas, banana, seamless game texture, 3 d raytraced masterpiece, game asset, seperated game asset, in-game 3d model, donkey kong slips on a banana, low quality 3d model, videogame asset"
"0,108,-27.png","a bunch of bananas sitting on top of each other, 3 d raytraced masterpiece, clumps of bananas, sliced banana, diffuse subsurface scattering, bananas weapon, seamless game texture, banana, bananas, subsurface scattering, rendered in renderman, subsurface scattering skin, donkey kong slips on a banana, a raytraced image, raytraced highlights"
"0,108,-36.png","a bunch of bananas sitting on top of each other, clumps of bananas, sliced banana, 3 d raytraced masterpiece, diffuse subsurface scattering, fruitcore, subsurface scattering skin, vray. subsurface scattering, subsurface scattering, bananas, banana color, sub - surface scattering, strong subsurface scattering, banana"
"0,108,-45.png","a bunch of bananas sitting on top of each other, 3 d raytraced masterpiece, clumps of bananas, vray. subsurface scattering, sliced banana, a raytraced image, raytraced highlights, diffuse subsurface scattering, rendered in arnold, arnold renderer, rendered in maya, rendered in maya 4 d, rendered in renderman"
"0,108,-54.png","a bunch of bananas sitting on top of each other, clumps of bananas, 3 d raytraced masterpiece, sliced banana, raymarching, vray. subsurface scattering, a raytraced image, raytraced highlights, diffuse subsurface scattering, rendered in renderman, rendered with renderman, rendered in arnold, arnold renderer, bananas"
"0,108,-63.png","a bunch of bananas sitting on top of each other, clumps of bananas, 3 d raytraced masterpiece, sliced banana, raymarching, a raytraced image, vray. subsurface scattering, bananas, raytraced highlights, raytraced, diffuse subsurface scattering, rendered in pov - ray, maya 3 d, subsurface scattering"
"0,108,-72.png","a bunch of bananas sitting on top of each other, raymarching, tooth wu : : quixel megascans, grain gelios lens, fruitcore, baked bean skin texture, clumps of bananas, inner ear, with small object details, 3 d raytraced masterpiece, physicality-based render, 3 d image, maya 3 d, a raytraced image"
