filename,prompt
"0,0,-18.png","a pair of scissors sitting on top of a black surface, scissors, monster manula, speculum, sheath, sharp robot dragon claws, surgical implements, hard surface model, crescent wrench, box cutter, hiperrealist, z-brush sculpt, grasshopper 3d, blacksmith product design, softbox key light, flat metal hinges, surgical equipment"
"0,0,-27.png","a pair of scissors on a black background, 3 d hammer modeling, z-brush sculpt, hard surface model, scissors, 3dcoat h 648, blender-hard-surface, in-game 3d model, surgical implements, monster manula, crescent wrench, grasshopper 3d, stylized stl, box cutter, 3d rendered model"
"0,0,-36.png","a pair of scissors sitting on top of a black surface, hard surface model, 3 d hammer modeling, crescent wrench, z-brush sculpt, 3dcoat h 648, monochrome 3 d model, hinged titanium legs, blender-hard-surface, hardsurface modelling, grasshopper 3d, 3dexcite, in-game 3d model"
"0,0,-45.png","a pair of scissors on a black background, hard surface model, 3 d hammer modeling, 3dexcite, 3dcoat h 648, 3d rendered model, in-game 3d model, z-brush sculpt, blender-hard-surface, box cutter, scissors, stylized stl, monochrome 3 d model, hard surface 3 d"
"0,0,-54.png","a pair of scissors sitting on top of a black surface, 3dexcite, 3 d hammer modeling, 3d rendered model, hard surface model, 3dcoat h 648, octave render, speculum, in-game 3d model, z-brush sculpt, monochrome 3 d model, hard surface 3 d, blender-hard-surface"
"0,0,-63.png","a pair of scissors on a black background, seperated game asset, quixel mixer, 3dexcite, 3 d hammer modeling, in-game 3d model, 3dcoat h 648, untextured, game asset, speculum, monochrome 3 d model, surgical implements, hard surface model, neck shackle, z-brush sculpt"
"0,0,-72.png","a close up of a pair of scissors on a black background, 3 d hammer modeling, seperated game asset, in-game 3d model, untextured, 3dexcite, 3d rendered model, 3d gun model, with small object details, monochrome 3 d model, game asset, detailed pistol trigger, 3dcoat h 648"
"0,0,-81.png","an object is shown in the dark with a black background, 3 d hammer modeling, untextured, seperated game asset, ebony wood bow, first person weapon, game asset, in-game 3d model, halberd, polearm glaive, flat metal antenna, 3d rendered model, glaive, 3d gun model, rpg item render"
"0,0,-9.png","a pair of scissors on a black background, hard surface model, scissors, speculum, z-brush sculpt, crescent wrench, hardsurface modelling, grasshopper 3d, sharp robot dragon claws, hard surface modeling, box cutter, surgical implements, hard surface 3 d, zbrush hard surface, blender-hard-surface, grey metal body, hard surface modelling"
"0,0,-90.png","an airplane flying in the sky at night, 3d gun model, first person weapon, in-game 3d model, halberd, sci - fi weapon, 3 d hammer modeling, untextured, seperated game asset, holding pistol, game asset, 3d rendered model, military drone, futuristic weapon, realistic gun, sheath"
"0,0,0.png","a pair of scissors sitting on top of a black surface, hard surface model, surgical implements, crescent wrench, speculum, scissors, z-brush sculpt, seperated game asset, game asset, claw, 3 d hammer modeling, grey metal body, box cutter, hardsurface modelling, hard surface modeling, insectile forearms folded"
"0,0,18.png","a pair of scissors on a black background, crescent wrench, speculum, box cutter, hard surface model, surgical implements, grey metal body, scissors, surgical equipment, biomechanical open chewing mouth, sharp robot dragon claws, claw, realistic shaded robotic parts, grasshopper 3d, monster manula, 3dcoat h 648, sheath"
"0,0,27.png","a pair of scissors on a black background, crescent wrench, speculum, surgical implements, box cutter, hard surface model, grey metal body, sheath, claw, surgical equipment, realistic shaded robotic parts, biomechanical open chewing mouth, 3dcoat h 648, monster manula, extended clip, scissors, z-brush sculpt"
"0,0,36.png","a pair of scissors sitting on top of a black surface, speculum, surgical implements, hard surface model, crescent wrench, box cutter, grey metal body, surgical equipment, hardsurface modelling, claw, biomechanical open chewing mouth, 3dcoat h 648, monster manula, z-brush sculpt, realistic shaded robotic parts"
"0,0,45.png","a pair of scissors sitting on top of a black surface, claw, speculum, robotic limb, grey metal body, biomechanical open chewing mouth, hard surface model, mechanical-limbs, realistic shaded robotic parts, sharp robot dragon claws, hinged titanium legs, box cutter, seperated game asset, surgical implements, hardsurface modelling"
"0,0,54.png","a pair of scissors laying on top of each other, biomechanical open chewing mouth, claw, speculum, sheath, box cutter, sharp robot dragon claws, grey metal body, cybernetic implant h 768, 3dcoat h 648, neck shackle, hinged titanium legs, monster manula, surgical implements, hard surface model"
"0,0,63.png","a pair of scissors on a black background, neck shackle, cybernetic implant h 768, biomechanical open chewing mouth, speculum, sheath, photo of a hand jewellery model, surgical implements, platinum jewellery, hinged titanium legs, sharp robot dragon claws, earie setting, hinged jaw, parametric solid works"
"0,0,72.png","a pair of white scissors on a black background, sci - fi jewellery, cybernetic implant h 768, boucheron style, nordic wedding ring, platinum jewellery, earie setting, crystalline masterpiece implants, detailed futuristic jewelry, bvlgari jewelry, hook as ring, neck shackle, cycladic sculptural style, trident metal crown"
"0,0,81.png","a pair of silver cufflinks on a black background, cybernetic implant h 768, crystalline masterpiece implants, earie setting, sleek metal ears, platinum jewellery, silver earring, elegant gleaming jewelry, sunken recessed indented spots, nordic wedding ring, hook as ring, pearl silverplate, uss enterprise, thin round earrings, boucheron style"
"0,0,9.png","a pair of scissors on a black background, grey metal body, hard surface model, z-brush sculpt, realistic shaded robotic parts, 3 d hammer modeling, mechanical-limbs, crescent wrench, grasshopper 3d, seperated game asset, speculum, biomechanical open chewing mouth, hardsurface modelling, game asset, scissors, zbrush hard surface"
"0,0,90.png","a toothbrush and a tube of toothpaste on a black background, holding dagger, scratched vial, serrated point, crystalline masterpiece implants, sheath, tack sharp, dermal implants, holding knife, wide belt scabbard, cybernetic implant h 768, a folding knife, engraved blade, bloody knife, dazzling gem in the hilt, with small object details"
"0,108,-18.png","a black bird flying in the night sky, world of war spaceships, seperated game asset, rpg item render, blue v2 rocket in space, ( ( ( ( ( bomb, missiles, game asset, moonray render, low quality 3d model, :6 smoke grenades, turbosquid, octsne render, untextured, icbm"
"0,108,-27.png","a close up of a black object in the dark, blue v2 rocket in space, untextured, alien space ship flying in space, octave render, moonray render, inspired by Vija Celmins, uncompressed png, octsne render, spaceship in dark space, top secret space plane, seperated game asset, sparse floating particles"
"0,108,-36.png","a black and white photo of a bird flying in the sky, blue v2 rocket in space, raytraced blade, octave render, inspired by Vija Celmins, top secret space plane, untextured, world of war spaceships, prop, 3d rendered model, rendered with blender, uncompressed png, moonray render, seperated game asset"
"0,108,-45.png","a large bird flying through the night sky, blue v2 rocket in space, world of war spaceships, top secret space plane, strafing attack plane, fuselage, inspired by Vija Celmins, untextured, sparse floating particles, no textures, prop, hd vfx - 9, debris flying around, redshift renderer, octave render"
"0,108,-54.png","a large bird flying through a dark sky, blue v2 rocket in space, untextured, sparse floating particles, seperated game asset, silenced pistol, low quality 3d model, in-game 3d model, 3 d model rip, black leahter gloves, no textures, 3d rendered model, rendered 3d model, octave render, prop"
"0,108,-63.png","a small propeller plane flying through a dark sky, black leahter gloves, 3d rendered model, holding dagger, microphone silluette, seperated game asset, 3 d render of a full female body, gloves and jewelry. motion, speculum, octave render, raytraced blade, untextured, 3d game object, low quality 3d model"
"0,108,-72.png","a propeller plane flying through a dark sky, microphone silluette, 3d gun model, first person weapon, 3 d hammer modeling, speculum, 3d rendered model, untextured, in-game 3d model, blender rendering, seperated game asset, low quality 3d model, rendered 3d model, octave render, spray brush"
"0,108,-81.png","a small propeller plane flying through a dark sky, 3 d hammer modeling, in-game 3d model, spray brush, untextured, paint knife, seperated game asset, low quality 3d model, first person weapon, 3d gun model, crescent wrench, hammer weapon, game asset, sheath, holding a wrench, rpg item render, 3d rendered model"
"0,108,-9.png","a pair of scissors sitting on top of a black surface, octsne render, moonray render, ue5 render, untextured, uncompressed png, inspired by Vija Celmins, alien space ship flying in space, spaceship in dark space, black sky background, world of war spaceships, seperated game asset, complete darkness background"
"0,108,-90.png","an airplane flying in the sky at night, 3 d hammer modeling, untextured, low quality 3d model, in-game 3d model, microphone silluette, hammer weapon, 3d gun model, rpg item render, seperated game asset, 3d rendered model, rendered 3d model, holding a wrench, first person weapon, 3 d model rip"
"0,108,0.png","a pair of scissors on a black background, uncompressed png, ue5 render, moonray render, octsne render, in-game 3d model, game asset, 3d rendered model, seperated game asset, sheath, octave render, world of war spaceships, rendered 3d model, untextured, rendered in 3 dsmax"
"0,108,18.png","a fighter jet flying through a dark sky, moonray render, in-game 3d model, ( ( ( ( ( bomb, world of war spaceships, 3d rendered model, octsne render, game asset, povray, bombs, rendered 3d model, holding a bomb, octain render, low quality 3d model"
"0,108,27.png","a fighter jet flying through a dark sky, space whale, alien space ship flying in space, moonray render, octain render, aeromorph, octsne render, robotic anthro dolphin, cyborg whale, venus squid astronaut, octave render, rhino rendered, 3d rendered model, in-game 3d model, flying whale, anorld render"
