filename,prompt
"0,0,-18.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, lemon demon, an angry lemon, it has lemon skin texture, arms of lemons, wearing a lemon, 3 d raytraced masterpiece, rendered with renderman, rendered in renderman, lemons on the ground, webgl render, sentient fruit"
"0,0,-27.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, an angry lemon, lemon demon, arms of lemons, it has lemon skin texture, wearing a lemon, 3 d raytraced masterpiece, rendered with renderman, lemons on the ground, rendered in renderman, webgl render, peeled lemons"
"0,0,-36.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, an angry lemon, lemon demon, lemons, it has lemon skin texture, arms of lemons, lemons on the ground, 3 d raytraced masterpiece, rendered with renderman, wearing a lemon, rendered in renderman, webgl render, sentient fruit"
"0,0,-45.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, an angry lemon, lemon demon, with lemon skin texture, arms of lemons, it has lemon skin texture, lemons, lemons on the ground, wearing a lemon, anorld render, 3 d raytraced masterpiece, rendered with renderman, rendered in renderman, peeled lemons"
"0,0,-54.png","a close up of a lemon on a black background, lemon wearing sunglasses, an angry lemon, lemon, lemon demon, with lemon skin texture, anorld render, lemons on the ground, arms of lemons, it has lemon skin texture, lemons, 3 d raytraced masterpiece, wearing a lemon, rendered with renderman, masterpiece. rendered in blender"
"0,0,-63.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemon demon, an angry lemon, with lemon skin texture, lemons on the ground, 3 d raytraced masterpiece, wearing a lemon, it has lemon skin texture, anorld render, arms of lemons, lemons, unrea 5, peeled lemons, a raytraced image, rendered image"
"0,0,-72.png","a close up of a yellow object on a black background, lemon wearing sunglasses, lemon demon, lemon, an angry lemon, anorld render, it has lemon skin texture, wearing a lemon, with lemon skin texture, 3 d raytraced masterpiece, baked bean skin texture, lemons on the ground, unrea 5, lemons, here is one olive, sentient fruit"
"0,0,-81.png","a close up of a yellow object on a black background, baked bean skin texture, radiosity rendering, fractal flame. highly_detailded, anorld render, spherical body, cataract. subsurface scattering, outer wilds, rendered image, egg yolk, fractal flame, outer wilds screenshot, octave render, here is one olive, avocado"
"0,0,-9.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, lemon demon, it has lemon skin texture, an angry lemon, arms of lemons, wearing a lemon, 3 d raytraced masterpiece, lemons on the ground, rendered with renderman, webgl render, a raytraced image, modeled in 3 d"
"0,0,-90.png","a close up of a yellow object on a black background, spherical body, baked bean skin texture, egg yolk, cataract. subsurface scattering, radiosity rendering, fractal flame. highly_detailded, rendered image, here is one olive, anorld render, lemon wearing sunglasses, octave render, avocado, egg, fractal flame"
"0,0,0.png","a close up of a lemon on a black background, lemon, lemon wearing sunglasses, with lemon skin texture, lemons, lemon demon, arms of lemons, an angry lemon, it has lemon skin texture, wearing a lemon, lemons on the ground, peeled lemons, 3 d raytraced masterpiece, lemonade, webgl render, rendered with renderman, a raytraced image"
"0,0,18.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemons, an angry lemon, with lemon skin texture, it has lemon skin texture, lemon demon, wearing a lemon, arms of lemons, lemons on the ground, masterpiece. rendered in blender, lemonlight, a raytraced image, modeled in 3 d, lumiol"
"0,0,27.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, it has lemon skin texture, an angry lemon, lemon demon, wearing a lemon, arms of lemons, lemons on the ground, masterpiece. rendered in blender, rendered with renderman, modeled in 3 d, sentient fruit, low quality 3d model"
"0,0,36.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemons, an angry lemon, lemon demon, it has lemon skin texture, with lemon skin texture, wearing a lemon, lemons on the ground, arms of lemons, low quality 3d model, anorld render, lemonlight, lumiol, masterpiece. rendered in blender"
"0,0,45.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemon demon, lemons, an angry lemon, it has lemon skin texture, wearing a lemon, with lemon skin texture, lemons on the ground, arms of lemons, low quality 3d model, 3 d render of jerma 9 8 5, masterpiece. rendered in blender"
"0,0,54.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, it has lemon skin texture, with lemon skin texture, lemons, lemon demon, an angry lemon, lemons on the ground, arms of lemons, low quality 3d model, wearing a lemon, masterpiece. rendered in blender, lumiol, lemonlight, modeled in 3 d"
"0,0,63.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, it has lemon skin texture, an angry lemon, lemon demon, lemons, wearing a lemon, arms of lemons, lemons on the ground, low quality 3d model, lumiol, rendered with renderman, masterpiece. rendered in blender, webgl render"
"0,0,72.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, an angry lemon, it has lemon skin texture, lemon demon, lemons, wearing a lemon, minion in space, lumiol, lemons on the ground, masterpiece. rendered in blender, lumine, 3 d render of jerma 9 8 5"
"0,0,81.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, minion in space, an angry lemon, it has lemon skin texture, lemon demon, lumiol, wearing a lemon, masterpiece. rendered in blender, halfmoon in space, lumine, rendered in nvidia's omniverse, lemons on the ground"
"0,0,9.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, an angry lemon, it has lemon skin texture, arms of lemons, lemon demon, wearing a lemon, lemons on the ground, a raytraced image, 3 d raytraced masterpiece, rendered with renderman, modeled in 3 d, lemonade"
"0,0,90.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, minion in space, an angry lemon, it has lemon skin texture, realistic photo from nasa, lemons on the ground, masterpiece. rendered in blender, moonray render, lemon demon, wearing a lemon, found in space, rendered in corona"
"0,108,-18.png","a close up of a yellow object on a black background, break of dawn on pluto, phobos, moon surface, moon surface background, floating planets and moons, moody gold planet, pluto, taken through a telescope, outer wilds screenshot, outer wilds, octave render, solis sacerdotibus, the moon orbiting other moons"
"0,108,-27.png","a close up of a yellow fruit on a black background, phobos, octave render, inspired by Ma Yuan, moon surface background, moon surface, cycles4d render, moonray render, halfmoon in space, rendered in nvidia's omniverse, octsne render, face made out of planet, cycles4d, spaceengine, outer wilds"
"0,108,-36.png","a yellow moon is seen in the dark sky, phobos, octave render, break of dawn on pluto, moon surface background, moon surface, moody gold planet, spaceengine, face made out of planet, glsl - shaders, pluto, moonray render, outer wilds, radiosity rendering, cycles4d render, inspired by Ma Yuan"
"0,108,-45.png","a close up of a yellow apple on a black background, phobos, break of dawn on pluto, moon surface, outer wilds, moon surface background, outer wilds screenshot, moody gold planet, taken through a telescope, octave render, barsoom, floating planets and moons, glsl - shaders, mars in distance, radiosity rendering"
"0,108,-54.png","a close up of a yellow apple on a black background, phobos, break of dawn on pluto, outer wilds, moon surface background, outer wilds screenshot, moon surface, barsoom, minion in space, moody gold planet, octave render, taken through a telescope, mars in distance, pluto, yellow ochre, yellowish full moon, charon"
"0,108,-63.png","a close up of an apple on a black background, outer wilds, outer wilds screenshot, barsoom, minion in space, moody gold planet, inspired by Ma Yuan, universe in a grain of sand, baked bean skin texture, unrefined sparkling gold nugget, spherical body, here is one olive, egg yolk, yellow ochre, planet mars"
"0,108,-72.png","a close up of a fruit on a black background, baked bean skin texture, here is one olive, spherical body, unrefined sparkling gold nugget, outer wilds, outer wilds screenshot, lemon wearing sunglasses, fruitcore, emma watson as an avocado, cerebellar peduncle, unrefined gold nugget, helen the bean queen, olive"
"0,108,-81.png","a close up of a fruit on a black background, baked bean skin texture, here is one olive, unrefined sparkling gold nugget, olive, helen the bean queen, spherical body, fruitcore, olive skin, heavy grain-s 150, fractal flame. highly_detailded, untextured, unrefined gold nugget, olive thigh skin"
"0,108,-9.png","a close up of an orange on a black background, moody gold planet, pluto, break of dawn on pluto, spaceengine, floating planets and moons, cycles4d render, moonray render, moon surface background, glsl - shaders, moon surface, octave render, phobos, yellowish full moon, inspired by Ma Yuan"
"0,108,-90.png","a close up of an apple on a black background, baked bean skin texture, here is one olive, fruitcore, spherical body, unrefined sparkling gold nugget, olive, olive skin, outer wilds, fractal flame. highly_detailded, heavy grain-s 150, photoscan, inspired by Ma Yuan, octave render, rendered image"
"0,108,0.png","a close up of a lemon on a black background, an angry lemon, with lemon skin texture, lemon wearing sunglasses, halfmoon in space, lemon slices float on the water, lemon, inspired by Ma Yuan, it has lemon skin texture, rendered in nvidia's omniverse, lemons, minion in space, wearing a lemon, lemon demon, masterpiece. rendered in blender"
"0,108,18.png","a close up of a lemon on a black background, lemon wearing sunglasses, halfmoon in space, minion in space, octsne render, moonray render, with lemon skin texture, an angry lemon, moon surface, maya render, on the surface of the moon, moon surface background, phobos, on moon, pikachu in space, inspired by Ma Yuan"
"0,108,27.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, an angry lemon, it has lemon skin texture, lemons, wearing a lemon, lemon demon, lemons on the ground, arms of lemons, minion in space, sentient fruit, outer wilds screenshot, outer wilds, rendered in nvidia's omniverse"
"0,108,36.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, it has lemon skin texture, an angry lemon, with lemon skin texture, lemon demon, lemons, wearing a lemon, 3 d render of jerma 9 8 5, lemons on the ground, sentient fruit, minion in space, masterpiece. rendered in blender, 3 d raytraced masterpiece"
"0,108,45.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, an angry lemon, lemon demon, wearing a lemon, with lemon skin texture, it has lemon skin texture, lemons, lemons on the ground, 3 d render of jerma 9 8 5, sentient fruit, in-game 3d model, lumiol, low quality 3d model"
"0,108,54.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, wearing a lemon, lemon demon, an angry lemon, in-game 3d model, 3 d render of jerma 9 8 5, with lemon skin texture, sentient fruit, anorld render, it has lemon skin texture, lemons, low quality 3d model"
"0,108,63.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, an angry lemon, lemon demon, wearing a lemon, lemons, it has lemon skin texture, in-game 3d model, lemons on the ground, 3 d render of jerma 9 8 5, rendered in corona, 3 d image, lumiol"
"0,108,72.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, wearing a lemon, 3 d render of jerma 9 8 5, with lemon skin texture, lemon demon, in-game 3d model, an angry lemon, anorld render, lemons, sentient fruit, minion in space, it has lemon skin texture, rendered in corona"
"0,108,81.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, in-game 3d model, 3 d image, wearing a lemon, an angry lemon, rendered in corona, lumiol, lumi, bryce 3d, bryce 3 d, modeled in 3 d, minion in space, 3d rendered model, maya 3 d, lumine"
"0,108,9.png","a close up of a lemon on a black background, lemon wearing sunglasses, an angry lemon, with lemon skin texture, pikachu in space, halfmoon in space, minion in space, lemon, wearing a lemon, inspired by Ma Yuan, it has lemon skin texture, moonray render, lemons, lemon slices float on the water, rendered in nvidia's omniverse"
"0,108,90.png","a close up of a banana on a black background, lumi, 3 d image, lemon wearing sunglasses, wearing a lemon, lemon, lumine, rendered in corona, lumiol, with small object details, maya render, corona rendered, seen from earth, luminist, maya 3 d, fruitcore, cgi render, octsne render"
"0,126,-18.png","a close up of a yellow fruit on a black background, break of dawn on pluto, pluto, floating planets and moons, moody gold planet, face made out of planet, phobos, octave render, the moon orbiting other moons, inspired by Ma Yuan, moon surface background, octsne render, mar planet, moon surface"
"0,126,-27.png","a close up of a yellow moon in the dark sky, outer wilds, break of dawn on pluto, moon surface background, moon surface, outer wilds screenshot, phobos, pluto, moody gold planet, octave render, inspired by Ma Yuan, floating planets and moons, the moon orbiting other moons, moonray render, taken through a telescope"
"0,126,-36.png","a close up of a yellow apple on a black background, phobos, asteroid belt in distance, break of dawn on pluto, moody gold planet, face made out of planet, moon surface background, inspired by Ma Yuan, moon surface, mars in distance, lump of native gold, spaceengine, outer wilds, radiosity rendering, octave render, pluto"
"0,126,-45.png","a close up of a yellow object in the sky, asteroid belt in distance, phobos, metallic asteroid, unrefined sparkling gold nugget, outer wilds, lump of native gold, outer wilds screenshot, moody gold planet, unrefined gold nugget, radiosity rendering, inspired by Ma Yuan, glsl - shaders, bw 3 d render, octave render"
"0,126,-54.png","a close up of a yellow object on a black background, phobos, mars in distance, outer wilds, barsoom, minion in space, planet mars, mars, inspired by Ma Yuan, the planet mars, mars as background, outer wilds screenshot, glsl - shaders, asteroid belt in distance, yellow ochre, mar planet, blender rendering"
"0,126,-63.png","a close up of a yellow object on a black background, baked bean skin texture, here is one olive, spherical body, lemon wearing sunglasses, outer wilds, photoscan, an angry lemon, octae render, outer wilds screenshot, 3 d image, lemon, with lemon skin texture, olive, 3 d raytraced masterpiece, minion in space, rendered image"
"0,126,-72.png","a close up of a fruit on a black background, baked bean skin texture, photoscan, fruitcore, spherical body, here is one olive, helen the bean queen, sprouting, heavy grain-s 150, samson pollen, filmgrain, an apple, rendered image, grain gelios lens, unrea 5, octave render"
"0,126,-81.png","a close up of a fruit on a black background, baked bean skin texture, photoscan, spherical body, fruitcore, helen the bean queen, here is one olive, heavy grain-s 150, samson pollen, grain gelios lens, rendered image, 3 d raytraced masterpiece, seeds, cerebellar peduncle"
"0,126,-9.png","a close up of a lemon on a black background, floating planets and moons, inspired by Ma Yuan, moody gold planet, pluto, with lemon skin texture, cycles4d render, break of dawn on pluto, cycles4d, outer wilds, moonray render, ray traced sun light, outer wilds screenshot, the moon orbiting other moons, spaceengine"
"0,126,-90.png","a close up of a yellow object on a black background, baked bean skin texture, spherical body, fruitcore, here is one olive, cerebellar peduncle, tree of life seed of doubt, cataract. subsurface scattering, encephalopod, helen the bean queen, seeds, heavy grain-s 150, kidney, photoscan"
"0,126,0.png","a close up of a yellow moon in the dark sky, inspired by Ma Yuan, cycles4d render, cataract. subsurface scattering, ray traced sun light, floating planets and moons, blue moon ray tracing, large glowing moon, moon surface, tennis ball, venus surface, moon surface background, cycles4d, spaceengine, the moon orbiting other moons"
"0,126,18.png","a close up of a lemon on a black background, lemon wearing sunglasses, with lemon skin texture, lemon, it has lemon skin texture, moonray render, an angry lemon, ray traced sun light, wearing a lemon, masterpiece. rendered in blender, lemon demon, lemons, rendered in corona, lemonlight, sublime subsurface scattering, 3 d raytraced masterpiece"
"0,126,27.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, it has lemon skin texture, an angry lemon, lemons, with lemon skin texture, lemons on the ground, lemon demon, 3 d render of jerma 9 8 5, masterpiece. rendered in blender, 3 d raytraced masterpiece, wearing a lemon, sentient fruit"
"0,126,36.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, it has lemon skin texture, lemons, an angry lemon, lemon demon, lemons on the ground, sentient fruit, 3 d render of jerma 9 8 5, masterpiece. rendered in blender, wearing a lemon, 3 d raytraced masterpiece"
"0,126,45.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemons, with lemon skin texture, it has lemon skin texture, lemon demon, an angry lemon, lemons on the ground, sentient fruit, wearing a lemon, 3 d render of jerma 9 8 5, masterpiece. rendered in blender, arms of lemons, low quality 3d model"
"0,126,54.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, an angry lemon, lemons, lemon demon, it has lemon skin texture, lemons on the ground, masterpiece. rendered in blender, wearing a lemon, 3 d render of jerma 9 8 5, 3 d raytraced masterpiece"
"0,126,63.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, minion in space, with lemon skin texture, 3 d render of jerma 9 8 5, it has lemon skin texture, an angry lemon, masterpiece. rendered in blender, realistic photo from nasa, found in space, low quality 3d model, lemon demon, sentient fruit"
"0,126,72.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, an angry lemon, with lemon skin texture, rendered in corona, lemons, lemons on the ground, minion in space, cgi render, wearing a lemon, lemon demon, webgl render, 3 d render of jerma 9 8 5, rendered in nvidia's omniverse, blender rendering"
"0,126,81.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, lemons, with lemon skin texture, an angry lemon, lemons on the ground, lemon demon, wearing a lemon, rendered in corona, webgl render, peeled lemons, arms of lemons, 3 d image, cgi render, it has lemon skin texture, rendered image, 3d rendered model"
"0,126,9.png","a close up of a lemon on a black background, with lemon skin texture, masterpiece. rendered in blender, moonray render, it has lemon skin texture, blender donut, rendered in corona, ray traced sun light, moon surface, 3 d raytraced masterpiece, sublime subsurface scattering, halfmoon in space, large glowing moon, inspired by Ma Yuan"
"0,126,90.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, lemons on the ground, rendered in corona, an angry lemon, 3 d image, corona rendered, wearing a lemon, lumi, lumiol, arms of lemons, with small object details, lemon demon, render corona, cgi render, lumine"
"0,144,-18.png","a close up of a lemon on a black background, lemon wearing sunglasses, with lemon skin texture, lemon, lemon demon, an angry lemon, it has lemon skin texture, ray traced sun light, outer wilds, lemons on the ground, outer wilds screenshot, a raytraced image, lemons, radiosity rendering, wearing a lemon, inspired by Ma Yuan"
"0,144,-27.png","a close up of a yellow apple on a black background, lemon wearing sunglasses, with lemon skin texture, an angry lemon, lemon demon, lemon, it has lemon skin texture, lemons on the ground, lemons, 3 d raytraced masterpiece, ray traced sun light, a raytraced image, arms of lemons, wearing a lemon, rendered with renderman"
"0,144,-36.png","a close up of a lemon on a black background, lemon wearing sunglasses, an angry lemon, lemon demon, lemon, with lemon skin texture, it has lemon skin texture, lemons on the ground, lemons, 3 d raytraced masterpiece, arms of lemons, wearing a lemon, masterpiece. rendered in blender, peeled lemons, sublime subsurface scattering, a raytraced image"
"0,144,-45.png","a close up of a lemon on a black background, lemon wearing sunglasses, an angry lemon, lemon demon, lemon, outer wilds, it has lemon skin texture, with lemon skin texture, outer wilds screenshot, lemons on the ground, wearing a lemon, lemons, 3 d raytraced masterpiece, an alien fruit, sentient fruit, minion in space, peeled lemons"
"0,144,-54.png","a close up of a yellow object on a black background, an angry lemon, lemon wearing sunglasses, lemon demon, baked bean skin texture, lemon, 3 d raytraced masterpiece, outer wilds, masterpiece. rendered in blender, with lemon skin texture, here is one olive, it has lemon skin texture, untextured, sentient fruit, outer wilds screenshot"
"0,144,-63.png","a close up of a yellow object on a black background, baked bean skin texture, outer wilds, an angry lemon, lemon wearing sunglasses, outer wilds screenshot, lemon, here is one olive, lemon demon, spherical body, emma watson as an avocado, slimy unreal engine, 3 d raytraced masterpiece, masterpiece. rendered in blender"
"0,144,-72.png","a close up of a yellow object on a black background, baked bean skin texture, an angry lemon, slimy unreal engine, spherical body, fruitcore, photoscan, 3 d raytraced masterpiece, here is one olive, gary oldman as a pear, lemon wearing sunglasses, lemon demon, anorld render, masterpiece. rendered in blender, outer wilds screenshot"
"0,144,-81.png","a close up of a yellow object on a black background, baked bean skin texture, here is one olive, fruitcore, spherical body, samson pollen, helen the bean queen, seeds, cataract. subsurface scattering, tree of life seed of doubt, sublime subsurface scattering, an alien fruit, outer wilds, olive skin, rendered image"
"0,144,-9.png","a close up of a lemon on a black background, lemon wearing sunglasses, with lemon skin texture, lemon, outer wilds screenshot, outer wilds, lemon demon, it has lemon skin texture, lemons, an angry lemon, a raytraced image, lemons on the ground, ray traced sun light, 3 d raytraced masterpiece, arms of lemons, wearing a lemon"
"0,144,-90.png","a black background with a yellow object in the middle, baked bean skin texture, here is one olive, helen the bean queen, fruitcore, tree of life seed of doubt, spherical body, seeds, an alien fruit, olive skin, 3 d raytraced masterpiece, lemon wearing sunglasses, sublime subsurface scattering, olive thigh skin, cell animation"
"0,144,0.png","a close up of a lemon on a black background, lemon wearing sunglasses, with lemon skin texture, lemon, lemons, lemons on the ground, lemon demon, it has lemon skin texture, an angry lemon, ray traced sun light, a raytraced image, outer wilds, outer wilds screenshot, arms of lemons, blue moon ray tracing, 3 d raytraced masterpiece"
"0,144,18.png","a close up of a lemon on a black background, lemon, lemon wearing sunglasses, an angry lemon, it has lemon skin texture, lemon demon, lemons, masterpiece. rendered in blender, with lemon skin texture, lemons on the ground, 3 d raytraced masterpiece, low quality 3d model, rendered in blender, ultra hd rendered, sentient fruit"
"0,144,27.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, it has lemon skin texture, lemons, with lemon skin texture, 3 d raytraced masterpiece, masterpiece. rendered in blender, lemons on the ground, an angry lemon, lemon demon, a raytraced image, rendered in renderman, high quality 3 d render, high quality 3d render"
"0,144,36.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemons, it has lemon skin texture, with lemon skin texture, 3 d raytraced masterpiece, an angry lemon, lemon demon, masterpiece. rendered in blender, lemons on the ground, sentient fruit, 3 d render of jerma 9 8 5, a raytraced image"
"0,144,45.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemons, it has lemon skin texture, with lemon skin texture, an angry lemon, lemons on the ground, lemon demon, masterpiece. rendered in blender, sentient fruit, low quality 3d model, 3 d render of jerma 9 8 5, 3 d raytraced masterpiece"
"0,144,54.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, it has lemon skin texture, lemons, an angry lemon, masterpiece. rendered in blender, lemons on the ground, rendered in renderman, rendered with renderman, lemon demon, 3 d raytraced masterpiece, sentient fruit"
"0,144,63.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, it has lemon skin texture, lemons, an angry lemon, masterpiece. rendered in blender, lemons on the ground, rendered in renderman, 3 d raytraced masterpiece, rendered with renderman, 3 d render of jerma 9 8 5, lemon demon"
"0,144,72.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, lemons, an angry lemon, with lemon skin texture, it has lemon skin texture, realistic photo from nasa, lemons on the ground, found in space, wearing a lemon, minion in space, lemon demon, masterpiece. rendered in blender, arms of lemons"
"0,144,81.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, wearing a lemon, lemons, an angry lemon, halfmoon in space, with lemon skin texture, lumi, lunar, lemons on the ground, with small object details, rendered in corona, cgi render, mooniq priem, lumine, lemon slices float on the water"
"0,144,9.png","a close up of a lemon on a black background, lemon wearing sunglasses, lemon, with lemon skin texture, lemons, lemon demon, lemons on the ground, an angry lemon, it has lemon skin texture, wearing a lemon, a raytraced image, masterpiece. rendered in blender, sentient fruit, 3 d raytraced masterpiece"
"0,144,90.png","a close up of a banana on a black background, lemon wearing sunglasses, lemon, lemons, an angry lemon, wearing a lemon, with lemon skin texture, lemons on the ground, halfmoon in space, arms of lemons, cgi render, lumi, rendered in corona, minion in space, it has lemon skin texture, moonray render, nasa image"
"0,162,-18.png","a close up of a lemon on a black background, lemon wearing sunglasses, with lemon skin texture, lemon, lemon demon, an angry lemon, lemons, arms of lemons, it has lemon skin texture, lemons on the ground, rendered in renderman, rendered with renderman, 3 d raytraced masterpiece, masterpiece. rendered in blender, lemonlight, a raytraced image"
